draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,gov_18_dem_mil,gov_18_rep_moo,uss_18_dem_rin,uss_18_rep_bra,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
1425,2,680314,556562,0.001270590,0.9515,0.14234,609019,14965,14761,1746,10803,192,2400,26428,506876,10111,10057,1443,8634,160,1807,17474,207391,150656,186550,130003,39607,101995,259879,160149,211306,192147,150656,207391,115999,113079,176148,235592,1,2,180947,146990,0.5518,0.5181,0.8,0.8,0,-0.0066041
1426,1,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
1426,2,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
1427,1,682839,558456,0.002436215,0.9753,0.25301,626791, 4570,11490,5506, 5860,189,2066,26367,518656, 3536, 7576,4132,4731,158,1593,18074,162893,184074,148879,144373,27729,121873,191225,200402,148713,227421,184074,162893,133123, 88304,213911,169969,1,0,135888,175629,0.4362,0.4092,0.2,1.0,0,-0.0886882
1427,2,679520,551629,0.002436215,0.9753,0.28700,601473,20545,15119,1787,10808,218,2364,27206,498848,13015,10080,1471,8605,174,1772,17664,194842,151519,172083,127938,38539,101628,243845,160365,198528,190221,151519,194842,114783,105311,175293,221186,1,0,169567,146334,0.5368,0.5050,0.8,1.0,0,-0.0886882
1428,1,683841,555624,0.003907193,0.9582,0.22969,607343,18982,15166,1783,10738,209,2401,27219,503593,12185,10144,1449,8556,165,1805,17727,199217,152400,176967,129231,38835,102444,249819,161542,203227,192130,152400,199217,115838,107901,176836,226523,1,1,173613,147549,0.5406,0.5081,0.8,1.0,0,-0.0937339
1428,2,678518,554461,0.003907193,0.9582,0.23966,620921, 6133,11443,5510, 5930,198,2029,26354,513911, 4366, 7512,4154,4780,167,1560,18011,158518,183193,143995,143080,27433,121057,185251,199225,144014,225512,183193,158518,132068, 85714,212369,164633,1,1,131842,174413,0.4305,0.4044,0.2,1.0,0,-0.0937339
1429,1,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
1429,2,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
1430,1,677889,549589,0.004830592,0.9772,0.34083,601242,20311,14566,1781,10494,234,2333,26928,497830,12823, 9651,1482,8300,178,1779,17546,189312,154156,167224,129423,38254,103121,236457,163669,191709,192985,154156,189312,116272,102739,178327,214083,1,0,164591,148671,0.5254,0.4950,0.6,1.0,0,-0.0846349
1430,2,684470,560496,0.004830592,0.9772,0.23878,627022, 4804,12043,5512, 6174,173,2097,26645,519674, 3728, 8005,4121,5036,154,1586,18192,168423,181437,153738,142888,28014,120380,198613,197098,155532,224657,181437,168423,131634, 90876,210878,177073,1,0,140864,173292,0.4484,0.4199,0.4,1.0,0,-0.0846349
1431,1,681439,556667,0.000380957,0.9259,0.27240,614221,11718,14123,2031, 9568,209,2244,27325,509635, 8027, 9380,1697,7624,169,1703,18432,182027,162061,162247,133213,36276,107580,223889,175510,179826,203019,162061,182027,120397, 99262,189265,201857,1,3,156853,156277,0.5009,0.4721,0.6,1.2,0,-0.1855649
1431,2,680920,553418,0.000380957,0.9259,0.11537,614043,13397,12486,5262, 7100,198,2186,26248,507869, 8524, 8276,3906,5712,163,1662,17306,175708,173532,158715,139098,29992,115921,211181,185257,167415,214623,173532,175708,127509, 94353,199940,189298,1,3,148602,165686,0.4728,0.4425,0.6,1.2,0,-0.1855649
1432,1,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
1432,2,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
1433,1,681644,557406,0.000681905,0.9620,0.21426,625986, 4365,11338,5529, 5794,199,2018,26415,517968, 3359, 7411,4166,4671,167,1550,18114,159620,184544,144824,143903,27591,121835,186650,201357,145067,227599,184544,159620,132869, 86207,214478,165858,1,0,132750,175848,0.4302,0.4041,0.2,1.0,0,-0.0913156
1433,2,680715,552679,0.000681905,0.9620,0.25343,602278,20750,15271,1764,10874,208,2412,27158,499536,13192,10245,1437,8665,165,1815,17624,198115,151049,176138,128408,38677,101666,248420,159410,202174,190043,151049,198115,115037,107407,174727,225297,1,0,172705,146115,0.5417,0.5092,0.8,1.0,0,-0.0913156
1434,1,683032,557650,0.002719547,0.9373,0.20874,625293, 5337,11755,5328, 7164,192,2045,25918,517218, 3919, 7639,3993,5692,147,1571,17471,159917,181215,140881,141665,29610,117685,191591,197843,150141,225101,181215,159917,129675, 85246,211472,170866,1,1,134428,172702,0.4377,0.4121,0.0,0.8,0, 0.0040746
1434,2,679327,552435,0.002719547,0.9373,0.20561,602971,19778,14854,1965, 9504,215,2385,27655,500286,12632,10017,1610,7644,185,1794,18267,197818,154378,180081,130646,36658,105816,243479,162924,197100,192541,154378,197818,118231,108369,177733,220290,1,1,171027,149261,0.5340,0.5007,0.8,0.8,0, 0.0040746
1435,1,680361,552920,0.001201592,0.9677,0.26391,602117,20535,15121,1782,11056,229,2411,27110,499924,13019,10087,1473,8758,180,1807,17672,196471,150678,174565,127452,39015,101086,245456,159963,199736,189937,150678,196471,114269,106790,174950,222596,1,1,171049,145823,0.5398,0.5081,0.8,1.0,0,-0.0894599
1435,2,681998,557165,0.001201592,0.9677,0.23901,626147, 4580,11488,5511, 5612,178,2019,26463,517580, 3532, 7569,4130,4578,152,1558,18066,161264,184915,146397,144859,27253,122415,189614,200804,147505,227705,184915,161264,133637, 86825,214254,168559,1,1,134407,176140,0.4328,0.4059,0.2,1.0,0,-0.0894599
1436,1,682005,554093,0.001211869,0.9268,0.21836,619592,10106,11621,5517, 5836,210,2066,27057,511268, 6436, 7553,4151,4708,167,1573,18237,151809,186029,135892,143516,26636,122239,176950,201963,137419,227193,186029,151809,132878, 81264,214578,157184,1,4,125741,176188,0.4165,0.3917,0.0,0.8,0,-0.0033520
1436,2,680354,555992,0.001211869,0.9268,0.11271,608672,15009,14988,1776,10832,197,2364,26516,506236,10115,10103,1452,8628,165,1792,17501,205926,149564,185070,128795,39632,101262,258120,158804,209822,190449,149564,205926,115028,112351,174627,233971,1,4,179714,145775,0.5521,0.5187,0.8,0.8,0,-0.0033520
1437,1,682005,554093,0.001211869,0.9268,0.21836,619592,10106,11621,5517, 5836,210,2066,27057,511268, 6436, 7553,4151,4708,167,1573,18237,151809,186029,135892,143516,26636,122239,176950,201963,137419,227193,186029,151809,132878, 81264,214578,157184,1,4,125741,176188,0.4165,0.3917,0.0,0.8,0,-0.0033520
1437,2,680354,555992,0.001211869,0.9268,0.11271,608672,15009,14988,1776,10832,197,2364,26516,506236,10115,10103,1452,8628,165,1792,17501,205926,149564,185070,128795,39632,101262,258120,158804,209822,190449,149564,205926,115028,112351,174627,233971,1,4,179714,145775,0.5521,0.5187,0.8,0.8,0,-0.0033520
1438,1,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
1438,2,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
1439,1,683370,555072,0.003215746,0.9667,0.28243,605451,20054,15158,1790,10973,240,2419,27285,502186,12786,10107,1489,8704,186,1821,17793,196873,151600,174965,128053,39127,101608,245935,160991,200143,190935,151600,196873,114830,107046,175963,223039,1,1,171408,146637,0.5389,0.5073,0.8,1.0,0,-0.0905867
1439,2,678989,555013,0.003215746,0.9667,0.24451,622813, 5061,11451,5503, 5695,167,2011,26288,515318, 3765, 7549,4114,4632,146,1544,17945,160862,183993,145997,144258,27141,121893,189135,199776,147098,226707,183993,160862,133076, 86569,213242,168117,1,1,134047,175326,0.4333,0.4063,0.2,1.0,0,-0.0905867
1440,1,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
1440,2,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
1441,1,678321,553882,0.004196398,0.9515,0.22580,620908, 6100,11495,5546, 5646,192,2053,26381,513471, 4375, 7540,4156,4605,172,1591,17972,157681,184165,142340,143825,27126,122012,184314,200124,143344,226344,184165,157681,132919, 84733,213234,163829,1,2,130961,175294,0.4276,0.4015,0.0,0.8,0, 0.0028178
1441,2,684038,556203,0.004196398,0.9515,0.21349,607356,19015,15114,1747,11022,215,2377,27192,504033,12176,10116,1447,8731,160,1774,17766,200054,151428,178622,128486,39142,101489,250756,160643,203897,191298,151428,200054,114987,108882,175970,227326,1,2,174494,146669,0.5433,0.5109,0.8,0.8,0, 0.0028178
1442,1,678291,552525,0.004240439,0.9534,0.22812,617172, 9268,11792,5578, 5689,182,2030,26580,510284, 6002, 7656,4188,4635,163,1560,18037,157376,182191,142021,142014,27241,120499,184050,198091,143320,224088,182191,157376,131256, 84631,211089,163685,1,2,130801,173376,0.4300,0.4039,0.2,1.0,0,-0.0954966
1442,2,684068,557560,0.004240439,0.9534,0.22101,611092,15847,14817,1715,10979,225,2400,26993,507220,10549,10000,1415,8701,169,1805,17701,200359,153402,178941,130297,39027,103002,251020,162676,203921,193554,153402,200359,116650,108984,178115,227471,1,2,174654,148586,0.5403,0.5079,0.8,1.0,0,-0.0954966
1443,1,679626,553302,0.002280603,0.9468,0.18488,616919,10294,12035,5531, 5857,203,2063,26724,510227, 6634, 7858,4160,4734,175,1581,17933,159417,180730,143168,141793,27708,120071,187244,195362,146551,222112,180730,159417,130932, 85438,208737,166898,1,2,132818,172014,0.4357,0.4091,0.2,1.0,0,-0.0948840
1443,2,682733,556783,0.002280603,0.9468,0.19987,611345,14821,14574,1762,10811,204,2367,26849,507277, 9917, 9798,1443,8602,157,1784,17805,198318,154863,177794,130518,38560,103430,247826,165405,200690,195530,154863,198318,116974,108177,180467,224258,1,2,172638,149949,0.5352,0.5032,0.8,1.0,0,-0.0948840
1444,1,680948,553412,0.000339852,0.9658,0.22673,603139,20193,15164,1763,10834,212,2402,27241,500580,12915,10166,1444,8634,169,1799,17705,198935,150186,176523,127591,38954,100995,249491,159150,203066,189645,150186,198935,114293,107738,174398,226279,1,1,173394,145514,0.5437,0.5112,0.8,0.8,0, 0.0058495
1444,2,681411,556673,0.000339852,0.9658,0.24268,625125, 4922,11445,5530, 5834,195,2028,26332,516924, 3636, 7490,4159,4702,163,1566,18033,158800,185407,144439,144720,27314,122506,185579,201617,144175,227997,185407,158800,133613, 85877,214807,164877,1,1,132061,176449,0.4281,0.4020,0.0,0.8,0, 0.0058495
1445,1,679856,553337,0.001942953,0.9468,0.17844,602390,20542,15066,1756,10913,214,2399,26576,500721,13098,10174,1435,8685,173,1814,17237,201107,150313,179315,128751,39041,101693,252440,158679,205369,189926,150313,201107,115222,109178,174302,228905,1,1,175454,145872,0.5460,0.5131,0.8,0.8,0, 0.0025566
1445,2,682503,556748,0.001942953,0.9468,0.21107,625874, 4573,11543,5537, 5755,193,2031,26997,516783, 3453, 7482,4168,4651,159,1551,18501,156628,185280,141647,143560,27227,121808,182630,202088,141872,227716,185280,156628,132684, 84437,214902,162251,1,1,130001,176090,0.4247,0.3992,0.0,0.8,0, 0.0025566
1446,1,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
1446,2,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
1447,1,684470,560496,0.004830592,0.9772,0.23878,627022, 4804,12043,5512, 6174,173,2097,26645,519674, 3728, 8005,4121,5036,154,1586,18192,168423,181437,153738,142888,28014,120380,198613,197098,155532,224657,181437,168423,131634, 90876,210878,177073,1,0,140864,173292,0.4484,0.4199,0.4,1.0,0,-0.0846349
1447,2,677889,549589,0.004830592,0.9772,0.34083,601242,20311,14566,1781,10494,234,2333,26928,497830,12823, 9651,1482,8300,178,1779,17546,189312,154156,167224,129423,38254,103121,236457,163669,191709,192985,154156,189312,116272,102739,178327,214083,1,0,164591,148671,0.5254,0.4950,0.6,1.0,0,-0.0846349
1448,1,682422,554547,0.001824042,0.9667,0.26805,604554,20130,15107,1793,11009,227,2408,27194,501645,12842,10064,1484,8734,179,1809,17790,196665,151770,174699,128206,39060,101683,245490,161306,199749,191253,151770,196665,114944,106880,176279,222619,1,2,171133,146843,0.5382,0.5066,0.8,1.0,0,-0.0905259
1448,2,679937,555538,0.001824042,0.9667,0.23893,623710, 4985,11502,5500, 5659,180,2022,26379,515859, 3709, 7592,4119,4602,153,1556,17948,161070,183823,146263,144105,27208,121818,189580,199461,147492,226389,183823,161070,132962, 86735,212925,168536,1,2,134322,175119,0.4341,0.4070,0.2,1.0,0,-0.0905259
1449,1,680579,552326,0.000881559,0.9762,0.28279,602373,20563,15154,1787,10812,220,2377,27293,499456,13032,10113,1468,8599,174,1779,17705,195094,151894,172337,128175,38586,101798,244290,160563,198892,190503,151894,195094,114987,105461,175533,221591,1,0,169840,146587,0.5367,0.5050,0.8,1.0,0,-0.0892003
1449,2,681780,557759,0.000881559,0.9762,0.25355,625891, 4552,11455,5506, 5856,187,2053,26280,518048, 3519, 7543,4135,4737,158,1586,18033,162641,183699,148625,144136,27682,121703,190780,200204,148349,227139,183699,162641,132919, 88153,213672,169565,1,0,135615,175376,0.4361,0.4091,0.2,1.0,0,-0.0892003
1450,1,684046,555775,0.004208142,0.9686,0.25170,605932,20162,15268,1782,10821,220,2418,27443,502752,12891,10245,1456,8629,174,1818,17810,199254,150871,176965,127934,39071,101331,250093,159724,203624,190215,150871,199254,114632,108018,174970,226858,1,1,173801,146015,0.5434,0.5110,0.8,0.8,0, 0.0047069
1450,2,678313,554310,0.004208142,0.9686,0.25347,622332, 4953,11341,5511, 5847,187,2012,26130,514752, 3660, 7411,4147,4707,158,1547,17928,158481,184722,143997,144377,27197,122170,184977,201043,143617,227427,184722,158481,133274, 85597,214235,164297,1,1,131654,175948,0.4280,0.4019,0.0,0.8,0, 0.0047069
1451,1,683589,559100,0.003537247,0.9743,0.25453,627556, 4559,11485,5503, 5850,189,2055,26392,519287, 3514, 7568,4132,4729,160,1587,18123,163099,184181,149067,144429,27771,121928,191284,200620,148781,227633,184181,163099,133178, 88419,214127,170033,1,0,136000,175758,0.4362,0.4093,0.2,1.0,0,-0.0884555
1451,2,678770,550985,0.003537247,0.9743,0.28685,600708,20556,15124,1790,10818,218,2375,27181,498217,13037,10088,1471,8607,172,1778,17615,194636,151412,171895,127882,38497,101573,243786,160147,198460,190009,151412,194636,114728,105196,175078,221123,1,0,169455,146205,0.5368,0.5050,0.8,1.0,0,-0.0884555
1452,1,680579,552326,0.000881559,0.9762,0.28279,602373,20563,15154,1787,10812,220,2377,27293,499456,13032,10113,1468,8599,174,1779,17705,195094,151894,172337,128175,38586,101798,244290,160563,198892,190503,151894,195094,114987,105461,175533,221591,1,0,169840,146587,0.5367,0.5050,0.8,1.0,0,-0.0892003
1452,2,681780,557759,0.000881559,0.9762,0.25355,625891, 4552,11455,5506, 5856,187,2053,26280,518048, 3519, 7543,4135,4737,158,1586,18033,162641,183699,148625,144136,27682,121703,190780,200204,148349,227139,183699,162641,132919, 88153,213672,169565,1,0,135615,175376,0.4361,0.4091,0.2,1.0,0,-0.0892003
1453,1,681858,554068,0.000996066,0.9658,0.27194,603853,20165,15108,1776,11037,240,2431,27248,501122,12889,10089,1475,8747,184,1824,17738,196732,150770,174854,127532,39135,101105,245981,160007,200167,189979,150770,196732,114319,106994,174993,223074,1,0,171374,145879,0.5402,0.5085,0.8,1.0,0,-0.0898275
1453,2,680501,556017,0.000996066,0.9658,0.24341,624411, 4950,11501,5517, 5631,167,1999,26325,516382, 3662, 7567,4128,4589,148,1541,18000,161003,184823,146108,144779,27133,122396,189089,200760,147074,227663,184823,161003,133587, 86621,214211,168082,1,0,134082,176084,0.4323,0.4054,0.2,1.0,0,-0.0898275
1454,1,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
1454,2,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
1455,1,683724,559135,0.003735432,0.9753,0.25551,627634, 4559,11505,5510, 5845,187,2058,26426,519298, 3521, 7567,4139,4726,158,1590,18136,163042,184228,149003,144413,27771,121929,191215,200655,148724,227646,184228,163042,133171, 88387,214151,169970,1,0,135951,175774,0.4361,0.4092,0.2,1.0,0,-0.0884769
1455,2,678635,550950,0.003735432,0.9753,0.28954,600630,20556,15104,1783,10823,220,2372,27147,498206,13030,10089,1464,8610,174,1775,17602,194693,151365,171959,127898,38497,101572,243855,160112,198517,189996,151365,194693,114735,105228,175054,221186,1,0,169504,146189,0.5369,0.5051,0.8,1.0,0,-0.0884769
1456,1,679176,556238,0.002941222,0.9772,0.23780,622293, 4773,11938,5495, 6014,171,2075,26417,515784, 3708, 7933,4104,4924,152,1570,18063,166323,180440,151736,141964,27681,119666,195968,196083,153256,223359,180440,166323,130815, 89708,209721,174612,1,0,138993,172302,0.4465,0.4182,0.2,0.8,0, 0.0130028
1456,2,683183,553847,0.002941222,0.9772,0.31857,605971,20342,14671,1798,10654,236,2355,27156,501720,12843, 9723,1499,8412,180,1795,17675,191412,155153,169226,130347,38587,103835,239102,164684,193985,194283,155153,191412,117091,103907,179484,216543,1,0,166462,149660,0.5266,0.4960,0.6,0.8,0, 0.0130028
1457,1,682515,554097,0.001960570,0.9477,0.25144,619117,10228,12028,5547, 6002,199,2046,27348,510605, 6522, 7731,4183,4826,161,1566,18503,150701,185172,134434,142703,26264,121466,175358,201210,136161,226495,185172,150701,132084, 80349,213852,155760,1,2,124584,175409,0.4153,0.3905,0.0,0.8,0,-0.0057905
1457,2,679844,555988,0.001960570,0.9477,0.13557,609147,14887,14581,1746,10666,208,2384,26225,506899,10029, 9925,1420,8510,171,1799,17235,207034,150421,186528,129608,40004,102035,259712,159557,211080,191147,150421,207034,115822,113266,175352,235396,1,2,180871,146554,0.5524,0.5190,0.8,0.8,0,-0.0057905
1458,1,683636,559329,0.003606245,0.9734,0.22177,627612, 4553,11488,5506, 5840,187,2055,26395,519540, 3516, 7565,4137,4717,158,1582,18114,163186,184148,149109,144455,27755,121923,191438,200523,148896,227515,184148,163186,133189, 88432,214019,170167,1,0,136077,175713,0.4364,0.4094,0.2,1.0,0,-0.0884262
1458,2,678723,550756,0.003606245,0.9734,0.32954,600652,20562,15121,1787,10828,220,2375,27178,497964,13035,10091,1466,8619,174,1783,17624,194549,151445,171853,127856,38513,101578,243632,160244,198345,190127,151445,194549,114717,105183,175186,220988,1,0,169378,146250,0.5366,0.5049,0.8,1.0,0,-0.0884262
1459,1,684527,556609,0.004914270,0.9458,0.19786,608130,18755,15060,1758,10911,234,2413,27266,504476,12063,10086,1451,8656,179,1825,17873,199576,152692,178202,129034,39252,101954,250203,162285,203476,192784,152692,199576,115494,108727,177535,226840,1,2,174142,147750,0.5410,0.5089,0.8,0.8,0, 0.0019952
1459,2,677832,553476,0.004914270,0.9458,0.21526,620134, 6360,11549,5535, 5757,173,2017,26307,513028, 4488, 7570,4152,4680,153,1540,17865,158159,182901,142760,143277,27016,121547,184867,198482,143765,224858,182901,158159,132412, 84888,211670,164316,1,2,131313,174213,0.4298,0.4034,0.0,0.8,0, 0.0019952
1460,1,683623,558880,0.003587160,0.9677,0.22671,627644, 4406,11384,5554, 5783,193,2018,26641,519206, 3380, 7437,4183,4669,162,1545,18298,159957,185254,145104,144485,27443,122385,186695,202103,145015,228435,185254,159957,133435, 86274,215269,165855,1,0,132843,176532,0.4294,0.4032,0.2,1.0,0,-0.0906112
1460,2,678736,551205,0.003587160,0.9677,0.25171,600620,20709,15225,1739,10885,214,2412,26932,498298,13171,10219,1420,8667,170,1820,17440,197778,150339,175858,127826,38825,101116,248375,158664,202226,189207,150339,197778,114471,107341,173936,225301,1,0,172613,145431,0.5427,0.5103,0.8,1.0,0,-0.0906112
1461,1,677889,549589,0.004830592,0.9772,0.34083,601242,20311,14566,1781,10494,234,2333,26928,497830,12823, 9651,1482,8300,178,1779,17546,189312,154156,167224,129423,38254,103121,236457,163669,191709,192985,154156,189312,116272,102739,178327,214083,1,0,164591,148671,0.5254,0.4950,0.6,1.0,0,-0.0846349
1461,2,684470,560496,0.004830592,0.9772,0.23878,627022, 4804,12043,5512, 6174,173,2097,26645,519674, 3728, 8005,4121,5036,154,1586,18192,168423,181437,153738,142888,28014,120380,198613,197098,155532,224657,181437,168423,131634, 90876,210878,177073,1,0,140864,173292,0.4484,0.4199,0.4,1.0,0,-0.0846349
1462,1,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
1462,2,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
1463,1,683990,555893,0.004125932,0.9553,0.20556,606168,20092,15208,1784,10837,207,2379,27315,503114,12776,10179,1454,8633,166,1787,17784,198907,151789,176595,128551,38968,101799,249323,160722,202957,191223,151789,198907,115175,107781,175972,226140,1,1,173350,146817,0.5414,0.5091,0.8,1.0,0,-0.0928302
1463,2,678369,554192,0.004125932,0.9553,0.23006,622096, 5023,11401,5509, 5831,200,2051,26258,514390, 3775, 7477,4149,4703,166,1578,17954,158828,183804,144367,143760,27300,121702,185747,200045,144284,226419,183804,158828,132731, 85834,213232,165015,1,1,132105,175146,0.4300,0.4037,0.2,1.0,0,-0.0928302
1464,1,679611,552423,0.002302624,0.9658,0.24948,601477,20533,15061,1765,11054,230,2400,27091,499473,13033,10068,1459,8761,178,1801,17650,196303,150271,174348,127186,39018,100836,245217,159461,199552,189407,150271,196303,114011,106683,174434,222384,1,0,170887,145432,0.5402,0.5085,0.8,1.0,0,-0.0889215
1464,2,682748,557662,0.002302624,0.9658,0.23443,626787, 4582,11548,5528, 5614,177,2030,26482,518031, 3518, 7588,4144,4575,154,1564,18088,161432,185322,146614,145125,27250,122665,189853,201306,147689,228235,185322,161432,133895, 86932,214771,168771,1,0,134568,176531,0.4326,0.4056,0.2,1.0,0,-0.0889215
1465,1,679250,555488,0.002832587,0.9658,0.20926,623760, 4390,11306,5510, 5743,193,2052,26296,516143, 3378, 7374,4150,4639,163,1574,18067,159527,183983,145158,143718,27574,121589,186344,200777,144783,227082,183983,159527,132653, 86366,213929,165564,1,0,132677,175430,0.4306,0.4045,0.2,1.0,0,-0.0919364
1465,2,683109,554597,0.002832587,0.9658,0.25266,604504,20725,15303,1783,10925,214,2378,27277,501361,13173,10282,1453,8697,169,1791,17671,198208,151610,175804,128593,38694,101912,248726,159990,202458,190560,151610,198208,115253,107249,175275,225592,1,0,172778,146533,0.5411,0.5086,0.8,1.0,0,-0.0919364
1466,1,677889,549589,0.004830592,0.9772,0.34083,601242,20311,14566,1781,10494,234,2333,26928,497830,12823, 9651,1482,8300,178,1779,17546,189312,154156,167224,129423,38254,103121,236457,163669,191709,192985,154156,189312,116272,102739,178327,214083,1,0,164591,148671,0.5254,0.4950,0.6,1.0,0,-0.0846349
1466,2,684470,560496,0.004830592,0.9772,0.23878,627022, 4804,12043,5512, 6174,173,2097,26645,519674, 3728, 8005,4121,5036,154,1586,18192,168423,181437,153738,142888,28014,120380,198613,197098,155532,224657,181437,168423,131634, 90876,210878,177073,1,0,140864,173292,0.4484,0.4199,0.4,1.0,0,-0.0846349
1467,1,680866,552391,0.000460231,0.9743,0.29109,602847,20522,15103,1795,10739,220,2365,27275,499678,12988,10070,1476,8544,174,1772,17689,194345,152247,171578,128435,38512,102078,243300,161130,198020,190965,152247,194345,115257,105045,176047,220660,1,1,169151,146971,0.5351,0.5034,0.8,1.0,0,-0.0888714
1467,2,681493,557694,0.000460231,0.9743,0.25416,625417, 4593,11506,5498, 5929,187,2065,26298,517826, 3563, 7586,4127,4792,158,1593,18049,163390,183346,149384,143876,27756,121423,191770,199637,149221,226677,183346,163390,132649, 88570,213157,170496,1,1,136304,174992,0.4379,0.4107,0.2,1.0,0,-0.0888714
