draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
4258,1,542950,415504,0.0015448823,0.9549,0.3204,22787,433262,3028,50153,3674,472,1987,27587,14300,344497,2241,32446,3011,346,1451,17212,146059, 71616,122837,109848,170614,62673,142907, 87120,121281,106171,176396, 96138,170950,109360,168511, 99069,178269, 97724,179687, 94713,145603, 82815,121281,106171,174763, 99401,2,0, 93443,157751,0.3720,0.3728,0.0,0.3,0,0.1986
4258,2,541275,434619,0.0015448823,0.9549,0.1759,22412,468056,2049,14439,4403,367,2387,27162,15608,383056,1540,10271,3655,296,1875,18318,133178,106089,113275,146083,162150,96294,134563,117739,114680,147701,167203,148645,162219,163099,160033,151789,170050,149297,173248,144902,135792,116551,114680,147701,166550,151547,2,0,137164,149060,0.4792,0.4791,0.3,0.3,0,0.1986
4259,1,544485,419783,0.0043763979,0.9728,0.5405,23050,442919,3125,41700,3627,428,1965,27671,14488,353916,2339,26911,2995,330,1445,17359,148544, 76687,123525,119048,177224,65517,144195, 95027,122903,113615,178818,101732,172820,115918,170181,105863,179888,104604,182490,100307,148371, 89071,122903,113615,176840,105685,0,0, 99831,160058,0.3841,0.3849,0.0,0.2,0,0.2562
4259,2,539740,430340,0.0043763979,0.9728,0.2154,22149,458399,1952,22892,4450,411,2409,27078,15420,373637,1442,15806,3671,312,1881,18171,130693,101018,112587,136882,155540,93450,133275,109832,113058,140258,164780,143050,160349,156541,158362,144995,168431,142418,170445,139308,133024,110296,113058,140258,164474,145262,0,0,130775,146752,0.4712,0.4710,0.2,0.2,0,0.2562
4260,1,539809,428146,0.0042491180,0.9679,0.2195,20234,458834,1861,24822,3788,385,2334,27551,13783,372295,1353,17213,3090,303,1816,18293,139610, 97048,116350,137706,167081,87027,138295,110421,119270,136666,173768,133220,167796,147635,165497,137051,176302,134462,178759,130448,140335,108051,119270,136666,172424,136563,2,0,125168,154273,0.4479,0.4482,0.2,0.3,0,0.2070
4260,2,544416,421977,0.0042491180,0.9679,0.3759,24965,442484,3216,39770,4289,454,2040,27198,16125,355258,2428,25504,3576,339,1510,17237,139627, 80658,119762,118224,165683,71940,139175, 94438,116691,117207,169830,111563,165374,124824,163047,113806,172017,112560,174176,109167,141061, 91316,116691,117207,168889,114384,2,0,105438,152538,0.4087,0.4090,0.1,0.3,0,0.2070
4261,1,542459,435397,0.0006391662,0.9657,0.2306,21838,469183,2049,14587,4647,410,2420,27325,15298,383733,1526,10444,3824,327,1880,18365,131006,105813,112021,143323,159082,95722,132960,115936,112912,146138,164163,148429,159487,162212,157281,150987,167694,148269,170297,144390,133768,115198,112912,146138,163785,150857,2,0,136121,146690,0.4813,0.4811,0.3,0.3,0,0.2007
4261,2,541766,414726,0.0006391662,0.9657,0.5057,23361,432135,3028,50005,3430,429,1954,27424,14610,343820,2255,32273,2842,315,1446,17165,148231, 71893,124091,112607,173682,63246,144510, 88923,123049,107735,179435, 96354,173682,110247,171263, 99871,180624, 98752,182638, 95225,147628, 84169,123049,107735,177529,100090,2,0, 94485,160120,0.3711,0.3719,0.0,0.3,0,0.2007
4262,1,539961,419542,0.0039687334,0.9755,0.4601,24235,439106,3216,39792,4232,452,2040,26888,15681,353456,2426,25525,3524,340,1519,17071,139803, 80556,119436,118373,165888,71583,139044, 94550,116685,116931,169170,110420,164639,123493,162433,112619,171371,111371,173309,108065,141042, 91267,116685,116931,168184,113194,1,0,104796,152177,0.4078,0.4081,0.1,0.3,0,0.2069
4262,2,544264,430581,0.0039687334,0.9755,0.2459,20964,462212,1861,24800,3845,387,2334,27861,14227,374097,1355,17192,3142,302,1807,18459,139434, 97150,116676,137558,166876,87384,138426,110309,119276,136942,174429,134363,168531,148966,166111,138238,176948,135651,179626,131550,140354,108100,119276,136942,173129,137753,1,0,125811,154633,0.4486,0.4489,0.2,0.3,0,0.2069
4263,1,540437,426354,0.0030906869,0.9695,0.1856,21158,449554,2602,31654,4122,446,2397,28504,14474,364328,1947,21448,3390,354,1844,18569,135972, 93703,112910,133125,161811,84354,135893,105396,114600,131949,167092,127357,161070,141638,159440,130202,169434,128418,171325,124949,136647,104144,114600,131949,165672,130513,1,0,120109,148954,0.4464,0.4467,0.2,0.3,0,0.2086
4263,2,543788,423769,0.0030906869,0.9695,0.3425,24041,451764,2475,32938,3955,393,1977,26245,15434,363225,1834,21269,3276,288,1482,16961,143265, 84003,123202,122806,170953,74613,141577, 99463,121361,121923,176507,117426,172099,130821,169104,120655,178885,118603,181610,114666,144749, 95223,121361,121923,175641,120434,1,0,110497,157856,0.4118,0.4120,0.1,0.3,0,0.2086
4264,1,543732,423234,0.0029873873,0.9679,0.3449,24303,448422,2365,37031,3769,383,1940,25519,15661,360939,1735,23608,3127,277,1469,16418,143053, 83270,122747,121884,168271,75880,141558, 98307,119794,121265,175139,114960,170015,129035,167237,118375,177382,116276,179340,112911,143907, 94837,119794,121265,173823,118311,2,1,109215,156453,0.4111,0.4114,0.1,0.3,0,0.2083
4264,2,540493,426889,0.0029873873,0.9679,0.3161,20896,452896,2712,27561,4308,456,2434,29230,14247,366614,2046,19109,3539,365,1857,19112,136184, 94435,113365,134046,164493,83088,135912,106552,116167,132607,168459,129823,163155,143424,161306,132483,170937,130745,173595,126704,137489,104530,116167,132607,167491,132636,2,1,121391,150357,0.4467,0.4469,0.2,0.3,0,0.2083
4265,1,541104,426780,0.0018603150,0.9723,0.3521,20941,453301,2714,27452,4307,455,2464,29470,14264,366488,2042,18992,3537,364,1877,19216,137637, 93474,114707,133167,166200,81917,137341,105563,117810,131554,170567,128801,165436,142267,163467,131473,173090,129679,175873,125545,138972,103530,117810,131554,169687,131553,1,1,120344,152213,0.4415,0.4417,0.2,0.4,0,0.1586
4265,2,543121,423343,0.0018603150,0.9723,0.3684,24258,448017,2363,37140,3770,384,1910,25279,15644,361065,1739,23725,3129,278,1449,16314,141600, 84232,121404,122763,166564,77051,140129, 99296,118151,122318,173031,115982,167733,130192,165077,119384,175229,117343,177062,114070,142424, 95837,118151,122318,171627,119394,1,1,110262,154597,0.4163,0.4166,0.2,0.4,0,0.1586
4266,1,541380,427183,0.0013511956,0.9723,0.1828,21134,450015,2651,32059,4123,444,2384,28570,14421,364775,1998,21837,3395,349,1827,18581,135648, 93361,112604,132777,161137,84413,135460,105241,114163,131574,166516,126734,160421,141041,158826,129615,168835,127852,170698,124401,136213,103947,114163,131574,165059,129929,1,0,119701,148431,0.4464,0.4467,0.2,0.3,0,0.2087
4266,2,542845,422940,0.0013511956,0.9723,0.3558,24065,451303,2426,32533,3954,395,1990,26179,15487,362778,1783,20880,3271,293,1499,16949,143589, 84345,123508,123153,171627,74555,142009, 99617,121798,122298,177083,118049,172748,131418,169718,121243,179483,119170,182237,115214,145183, 95419,121798,122298,176254,121018,1,0,110906,158380,0.4119,0.4121,0.1,0.3,0,0.2087
4267,1,543124,420843,0.0018658489,0.9826,0.5322,23754,432566,3208,50000,4182,461,1952,27001,15350,348431,2428,32236,3496,343,1443,17116,138768, 81722,117909,119790,164656,72706,137369, 96327,114915,117783,166557,110532,161671,123873,159612,112851,168518,111840,170363,108554,139675, 92637,114915,117783,165344,113530,1,0,105597,150033,0.4131,0.4134,0.2,0.4,0,0.1586
