draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,542491,432307,0.0006981946,0.9728,0.2195,22185,460172,1952,23733,4463,417,2412,27157,15439,374983,1442,16333,3683,317,1883,18227,131336,101397,113123,137442,156242,93839,133886,110309,113581,140796,165481,143491,161041,157019,159054,145437,169140,142870,171166,139747,133647,110747,113581,140796,165176,145713,1,0,131235,147405,0.4710,0.4708,0.2,0.2,0,0.2557
cd_2020,2,541734,417816,0.0006981946,0.9728,0.5312,23014,441146,3125,40859,3614,422,1962,27592,14469,352570,2339,26384,2983,325,1443,17303,147901, 76309,122989,118488,176522,65128,143584, 94550,122381,113077,178118,101291,172128,115440,169490,105421,179179,104151,181769, 99868,147749, 88620,122381,113077,176137,105234,1,0, 99372,159406,0.3840,0.3847,0.0,0.2,0,0.2557
1,1,541648,419987,0.0008568332,0.9641,0.2833,23950,437096,2339,46897,3749,401,1877,25339,15421,351725,1722,30033,3108,289,1415,16274,140583, 83205,120745,120960,165068,76066,139129, 97935,117348,120492,170940,114284,165867,128199,163492,117297,173277,115460,174921,112412,141381, 94544,117348,120492,169699,117530,1,1,108630,153136,0.4150,0.4153,0.2,0.4,0,0.1586
1,2,542577,430136,0.0008568332,0.9641,0.2647,21249,464222,2738,17695,4328,438,2497,29410,14487,375828,2059,12684,3558,353,1911,19256,138654, 94501,115367,134970,167696,82901,138341,106923,118613,133381,172659,130499,167302,144260,165052,133561,175042,131562,178014,127203,140015,104823,118613,133381,171614,133417,1,1,121976,153674,0.4425,0.4427,0.2,0.4,0,0.1586
2,1,541023,419515,0.0020097305,0.9755,0.4975,24905,439531,3192,39545,4279,452,2030,27089,16082,353123,2412,25298,3562,338,1507,17193,139015, 80184,119234,117539,164896,71531,138541, 93896,116175,116523,168856,110989,164426,124202,162107,113205,171135,111917,173164,108627,140421, 90789,116175,116523,167938,113788,2,0,104861,151754,0.4086,0.4088,0.1,0.3,0,0.2067
2,2,543202,430608,0.0020097305,0.9755,0.2596,20294,461787,1885,25047,3798,387,2344,27660,13826,374430,1369,17419,3104,304,1819,18337,140222, 97521,116878,138391,167868,87437,138929,110963,119786,137350,174743,133794,168743,148257,166437,137653,177184,135104,179771,130988,140975,108578,119786,137350,173376,137159,2,0,125746,155056,0.4478,0.4481,0.2,0.3,0,0.2067
3,1,542848,418661,0.0013567295,0.9695,0.4327,23365,441358,3119,41363,3627,435,1965,27616,14715,352897,2327,26604,2997,335,1452,17334,147290, 77160,122592,119211,175887,66083,143192, 95204,121910,114057,177619,102782,171740,116876,169068,106866,178771,105540,181417,101244,147240, 89416,121910,114057,175723,106662,1,0,100502,158948,0.3874,0.3881,0.0,0.2,0,0.2559
3,2,541377,431462,0.0013567295,0.9695,0.1878,21834,459960,1958,23229,4450,404,2409,27133,15193,374656,1454,16113,3669,307,1874,18196,131947,100546,113520,136719,156877,92884,134278,109655,114051,139815,165980,142000,161429,155583,159476,143992,169548,141481,171519,138370,134156,109951,114051,139815,165590,144285,1,0,130104,147862,0.4681,0.4679,0.2,0.2,0,0.2559
4,1,542981,418537,0.0016020660,0.9744,0.5459,23010,441537,3123,41683,3625,428,1956,27619,14463,352753,2337,26895,2994,330,1436,17329,148037, 76548,123096,118799,176683,65371,143694, 94855,122472,113376,178168,101544,172191,115688,169558,105666,179249,104393,181834,100113,147877, 88895,122472,113376,176200,105481,1,0, 99635,159498,0.3845,0.3852,0.0,0.2,0,0.2559
4,2,541244,431586,0.0016020660,0.9744,0.2191,22189,459781,1954,22909,4452,411,2418,27130,15445,374800,1444,15822,3672,312,1890,18201,131201,101158,113016,137131,156081,93596,133776,110003,113490,140496,165431,143239,160979,156771,158986,145192,169070,142629,171101,139502,133519,110472,113490,140496,165113,145466,1,0,130972,147313,0.4706,0.4704,0.2,0.2,0,0.2559
5,1,541645,427616,0.0008623671,0.9641,0.3127,21149,453607,2637,28597,4158,438,2436,28623,14399,367158,1993,19738,3427,342,1876,18683,136485, 93645,112998,133638,162833,83993,136038,105794,115431,132234,168702,127884,162615,142227,160847,131092,170825,129086,173037,125371,137089,104267,115431,132234,167205,131132,1,0,120496,149981,0.4455,0.4458,0.2,0.3,0,0.2085
5,2,542580,422507,0.0008623671,0.9641,0.3303,24050,447711,2440,35995,3919,401,1938,26126,15509,360395,1788,22979,3239,300,1450,16847,142752, 84060,123114,122292,169931,74975,141432, 99065,120530,121639,174897,116899,170554,130232,167697,119766,177493,117935,179898,114244,144307, 95100,120530,121639,174108,119815,1,0,110110,156829,0.4125,0.4127,0.1,0.3,0,0.2085
6,1,543423,421288,0.0024173949,0.9799,0.5796,24729,441765,3223,39808,4240,447,2029,27182,15934,354773,2425,25516,3532,334,1502,17272,140557, 79913,120275,117810,166568,71183,139816, 94009,117298,116298,170563,109927,165981,123196,163675,112196,172708,110951,174711,107665,141803, 90730,117298,116298,169528,112787,1,0,104314,153215,0.4051,0.4054,0.0,0.2,0,0.2547
6,2,540802,428835,0.0024173949,0.9799,0.2839,20470,459553,1854,24784,3837,392,2345,27567,13974,372780,1356,17201,3134,308,1824,18258,138680, 97793,115837,138121,166196,87785,137654,110850,118663,137574,173036,134856,167188,149263,164869,138661,175610,136070,178224,131950,139593,108637,118663,137574,171785,138160,1,0,126292,153596,0.4512,0.4515,0.2,0.2,0,0.2547
7,1,543247,429243,0.0020927391,0.9782,0.2516,20137,457105,1857,29732,3815,383,2282,27936,13680,370396,1355,20236,3118,301,1762,18395,138136, 97854,114849,138787,165903,87711,136656,111683,117324,138026,171461,133974,165377,148620,163116,137900,174010,135371,176466,131292,138887,109008,117324,138026,170086,137432,0,0,126121,152330,0.4529,0.4532,0.2,0.2,0,0.2549
7,2,540978,420880,0.0020927391,0.9782,0.4518,25062,444213,3220,34860,4262,456,2092,26813,16228,357157,2426,22481,3548,341,1564,17135,141101, 79852,121263,117144,166861,71257,140814, 93176,118638,115847,172138,110809,167792,123839,165428,112957,174308,111651,176469,108323,142509, 90359,118638,115847,171227,113516,0,0,104485,154481,0.4035,0.4037,0.0,0.2,0,0.2549
8,1,542958,423041,0.0015596394,0.9728,0.3184,20157,439217,2648,45155,4066,419,2183,29113,13619,353527,1955,29912,3337,333,1630,18728,143071, 85625,121131,122702,166966,77075,140682, 98747,119589,122370,172143,116159,166748,129284,164786,118523,174331,116895,175460,114064,142963, 96038,119589,122370,170694,118985,1,0,110144,154490,0.4162,0.4165,0.2,0.4,0,0.1586
8,2,541267,427082,0.0015596394,0.9728,0.2325,25042,462101,2429,19437,4011,420,2191,25636,16289,374026,1826,12805,3329,309,1696,16802,136166, 92080,114981,133228,165798,81893,136788,106112,116372,131503,171456,128624,166421,143175,163758,132334,173987,130127,177475,125551,138433,103329,116372,131503,170620,131962,1,0,120462,152320,0.4416,0.4418,0.2,0.4,0,0.1586
9,1,544010,416808,0.0035001960,0.9647,0.3334,22738,434553,3015,50096,3673,474,1982,27479,14280,345959,2229,32376,3018,348,1443,17155,147087, 71532,124260,109148,171270,62695,144242, 86594,122368,105627,177251, 96008,171958,109010,169581, 98615,179315, 97369,180506, 94547,146714, 82494,122368,105627,175722, 99109,1,0, 93114,158783,0.3697,0.3704,0.0,0.3,0,0.1989
9,2,540215,433315,0.0035001960,0.9647,0.1885,22461,466765,2062,14496,4404,365,2392,27270,15628,381594,1552,10341,3648,294,1883,18375,132150,106173,111852,146782,161494,96272,133228,118265,113593,148246,166348,148775,161211,163449,158963,152243,169003,149653,172429,145068,134682,116873,113593,148246,165591,151838,1,0,137492,148027,0.4816,0.4814,0.3,0.3,0,0.1989
10,1,540978,420880,0.0020927391,0.9782,0.4518,25062,444213,3220,34860,4262,456,2092,26813,16228,357157,2426,22481,3548,341,1564,17135,141101, 79852,121263,117144,166861,71257,140814, 93176,118638,115847,172138,110809,167792,123839,165428,112957,174308,111651,176469,108323,142509, 90359,118638,115847,171227,113516,0,0,104485,154481,0.4035,0.4037,0.0,0.2,0,0.2549
10,2,543247,429243,0.0020927391,0.9782,0.2516,20137,457105,1857,29732,3815,383,2282,27936,13680,370396,1355,20236,3118,301,1762,18395,138136, 97854,114849,138787,165903,87711,136656,111683,117324,138026,171461,133974,165377,148620,163116,137900,174010,135371,176466,131292,138887,109008,117324,138026,170086,137432,0,0,126121,152330,0.4529,0.4532,0.2,0.2,0,0.2549
11,1,539763,426488,0.0043339713,0.9668,0.2824,20804,452605,2706,27421,4267,439,2438,29083,14183,366489,2045,19026,3511,348,1855,19031,136563, 94035,113738,133548,164676,82799,136355,106034,116708,132105,169140,129239,163925,142691,162036,131860,171539,130165,174234,126100,137834,104103,116708,132105,168175,132011,1,0,120858,150891,0.4447,0.4449,0.2,0.4,0,0.1586
11,2,544462,423635,0.0043339713,0.9668,0.3359,24395,448713,2371,37171,3810,400,1936,25666,15725,361064,1736,23691,3155,294,1471,16499,142674, 83671,122374,122382,168088,76169,141115, 98825,119253,121767,174459,115544,169244,129768,166508,118998,176779,116856,178701,113515,143562, 95263,119253,121767,173139,118936,1,0,109749,155919,0.4131,0.4134,0.2,0.4,0,0.1586
12,1,541702,417546,0.0007572229,0.9652,0.3405,23766,440481,3123,40698,3683,431,1968,27552,14962,351957,2330,26254,3038,333,1442,17230,143198, 79414,118444,121785,172160,68181,138775, 98095,117301,116493,172828,104027,166191,118971,163408,109103,173535,107415,176200,103014,143143, 91870,117301,116493,170432,108506,1,0,102649,154204,0.3996,0.4004,0.1,0.3,0,0.2063
12,2,542523,432577,0.0007572229,0.9652,0.1502,21433,460837,1954,23894,4394,408,2406,27197,14946,375596,1451,16463,3628,309,1884,18300,136039, 98291,117668,134145,160603,90787,138695,106764,118660,137380,170770,140756,166978,153488,165136,141755,174783,139606,176735,136601,138253,107497,118660,137380,170881,142441,1,0,127957,152607,0.4561,0.4558,0.2,0.3,0,0.2063
13,1,540526,414028,0.0029265143,0.9685,0.3646,22659,431529,2987,49856,3651,471,1988,27385,14248,343551,2210,32163,3000,345,1434,17077,146797, 70912,123946,108453,170906,62082,143829, 86042,122208,104905,176818, 95181,171542,108184,169136, 97867,178918, 96521,180058, 93801,146369, 81873,122208,104905,175295, 98310,1,0, 92394,158415,0.3684,0.3691,0.0,0.3,0,0.1984
13,2,543699,436095,0.0029265143,0.9685,0.2103,22540,469789,2090,14736,4426,368,2386,27364,15660,384002,1571,10554,3666,297,1892,18453,132441,106794,112166,147477,161857,96886,133641,118817,113754,148967,166780,149602,161627,164275,159408,152991,169401,150501,172878,145814,135027,117494,113754,148967,166019,152637,1,0,138212,148395,0.4822,0.4821,0.3,0.3,0,0.1984
14,1,542851,434042,0.0013622634,0.9690,0.2148,23858,470004,2974,10799,4965,424,2484,27343,16583,382631,2285, 7991,4124,342,1937,18149,126285,108577,105959,150220,157843,97223,128663,120478,106648,150819,157501,150436,152399,165395,150467,154032,159421,152079,163760,146698,129688,119125,106648,150819,156710,153728,1,0,139595,140895,0.4977,0.4975,0.4,0.4,0,0.1489
14,2,541374,416081,0.0013622634,0.9690,0.3062,21341,431314,2103,53793,3112,415,1890,27406,13325,344922,1496,34726,2542,300,1389,17381,152952, 69129,130153,105711,174921,61745,148807, 84381,129314,103053,186097, 94347,180770,107064,178076, 96826,188897, 94943,189176, 92917,151708, 80242,129314,103053,184603, 97219,1,0, 91011,165916,0.3542,0.3550,0.0,0.4,0,0.1489
15,1,540978,420880,0.0020927391,0.9782,0.4518,25062,444213,3220,34860,4262,456,2092,26813,16228,357157,2426,22481,3548,341,1564,17135,141101, 79852,121263,117144,166861,71257,140814, 93176,118638,115847,172138,110809,167792,123839,165428,112957,174308,111651,176469,108323,142509, 90359,118638,115847,171227,113516,0,0,104485,154481,0.4035,0.4037,0.0,0.2,0,0.2549
15,2,543247,429243,0.0020927391,0.9782,0.2516,20137,457105,1857,29732,3815,383,2282,27936,13680,370396,1355,20236,3118,301,1762,18395,138136, 97854,114849,138787,165903,87711,136656,111683,117324,138026,171461,133974,165377,148620,163116,137900,174010,135371,176466,131292,138887,109008,117324,138026,170086,137432,0,0,126121,152330,0.4529,0.4532,0.2,0.2,0,0.2549
16,1,540408,415560,0.0031441813,0.9706,0.3393,21329,431075,2128,53406,3105,406,1842,27117,13338,344889,1525,34405,2549,291,1355,17208,152142, 70804,129574,107373,173971,63671,148162, 86021,128551,105057,184610, 96899,179448,109584,176744, 99408,187565, 97487,187907, 95447,150962, 81968,128551,105057,183254, 99765,1,0, 93174,164867,0.3611,0.3618,0.0,0.3,0,0.2021
16,2,543817,434563,0.0031441813,0.9706,0.2371,23870,470243,2949,11186,4972,433,2532,27632,16570,382664,2256, 8312,4117,351,1971,18322,127095,106902,106538,148557,158793,95297,129307,118838,107410,148815,158989,147884,153722,162875,151800,151449,160754,149534,165028,144168,130434,117399,107410,148815,158059,151183,1,0,137432,141944,0.4919,0.4918,0.3,0.3,0,0.2021
17,1,542723,420707,0.0011261500,0.9734,0.4537,24803,441054,3209,39814,4289,447,2031,27076,15982,354172,2427,25566,3569,335,1497,17159,140178, 79822,120180,117366,166078,71112,139530, 93724,117141,116148,169952,110160,165443,123404,163164,112376,172173,111159,174168,107860,141491, 90508,117141,116148,168980,112992,2,0,104312,152800,0.4057,0.4060,0.0,0.2,0,0.2545
17,2,541502,429416,0.0011261500,0.9734,0.2556,20396,460264,1868,24778,3788,392,2343,27673,13926,373381,1354,17151,3097,307,1829,18371,139059, 97883,115932,138564,166685,87856,137940,111135,118820,137725,173647,134623,167727,149055,165380,138482,176146,135862,178767,131755,139905,108859,118820,137725,172333,137956,2,0,126294,154010,0.4506,0.4508,0.2,0.2,0,0.2545
18,1,544615,426510,0.0046162005,0.9717,0.2750,24610,454040,2377,32192,3821,399,2108,25068,15922,366761,1748,20685,3174,286,1617,16317,144578, 84294,124392,122437,169526,76975,143453, 98614,122057,121764,177490,116620,172301,130681,169745,119705,179939,117593,181629,114513,145487, 95582,122057,121764,176221,119822,1,0,110319,158510,0.4104,0.4107,0.0,0.2,0,0.2585
18,2,539610,423613,0.0046162005,0.9717,0.3466,20589,447278,2700,32400,4256,440,2266,29681,13986,360792,2033,22032,3492,356,1709,19213,134660, 93411,111720,133493,163238,81993,134017,106244,113904,132108,166109,128163,160868,141778,158799,131153,168380,129429,171307,125102,135909,103785,113904,132108,165093,131126,1,0,120287,148300,0.4479,0.4480,0.2,0.2,0,0.2585
19,1,544055,424135,0.0035832046,0.9657,0.2827,24067,449316,2320,36698,3752,391,2100,25411,15523,362147,1703,23335,3112,281,1607,16427,148650, 79353,128500,116994,173508,71787,147739, 93160,126697,116489,182667,111424,178340,124562,175720,113639,185667,111795,187210,108844,149599, 90325,126697,116489,181921,114053,1,0,104804,163469,0.3907,0.3909,0.0,0.2,0,0.2581
19,2,540170,425988,0.0035832046,0.9657,0.3135,21132,452002,2757,27894,4325,448,2274,29338,14385,365406,2078,19382,3554,361,1719,19103,130588, 98353,107612,138936,159256,87180,129731,111699,109264,137383,160932,133359,154829,147897,152823,137219,162652,135226,165725,130771,131797,109042,109264,137383,159393,136895,1,0,125802,143341,0.4674,0.4676,0.2,0.2,0,0.2581
20,1,542365,435354,0.0004657705,0.9712,0.2084,22539,468721,2059,14536,4433,367,2401,27309,15675,383460,1552,10375,3672,297,1905,18418,132431,106804,112283,147271,161711,96902,133663,118712,114008,148910,166799,149852,161679,164483,159425,153225,169490,150692,172911,146047,135023,117423,114008,148910,166061,152860,1,0,138290,148440,0.4823,0.4821,0.3,0.3,0,0.1983
20,2,541860,414769,0.0004657705,0.9712,0.3744,22660,432597,3018,50056,3644,472,1973,27440,14233,344093,2229,32342,2994,345,1421,17112,146806, 70902,123829,108659,171053,62066,143807, 86146,121953,104962,176800, 94931,171491,107976,169119, 97633,178829, 96330,180024, 93568,146373, 81944,121953,104962,175253, 98087,1,0, 92317,158370,0.3683,0.3690,0.0,0.3,0,0.1983
21,1,540303,419864,0.0033378681,0.9766,0.4826,25041,443494,3228,34885,4239,450,2083,26883,16185,356199,2429,22501,3532,335,1544,17139,140578, 79427,120676,116760,166384,70790,140135, 92932,118174,115302,171611,110089,167275,123072,164936,112231,173748,110940,175929,107603,141943, 89979,118174,115302,170700,112787,1,0,103914,153944,0.4030,0.4033,0.0,0.2,0,0.2545
21,2,543922,430259,0.0033378681,0.9766,0.2777,20158,457824,1849,29707,3838,389,2291,27866,13723,371354,1352,20216,3134,307,1782,18391,138659, 98279,115436,139170,166380,88178,137335,111927,117787,138570,171988,134694,165894,149387,163608,138626,174570,136082,177006,132012,139453,109388,117787,138570,170613,138161,1,0,126692,152866,0.4532,0.4534,0.2,0.2,0,0.2545
22,1,543141,422847,0.0018972077,0.9706,0.3328,25060,448817,3235,32372,4272,462,2080,26843,16222,360750,2428,20837,3558,344,1557,17151,142368, 79976,121950,117944,168471,71112,142147, 93310,119696,116058,173798,110940,169450,124073,166991,113178,176039,111764,178189,108408,143734, 90587,119696,116058,172893,113673,1,0,104676,155909,0.4017,0.4020,0.0,0.2,0,0.2555
22,2,541084,427276,0.0018972077,0.9706,0.1583,20139,452501,1842,32220,3805,377,2294,27906,13686,366803,1353,21880,3108,298,1769,18379,136869, 97730,114162,137986,164293,87855,135323,111548,116266,137815,169801,133843,163719,148386,161552,137680,172280,135258,174747,131206,137662,108779,116266,137815,168420,137275,1,0,125930,150901,0.4549,0.4551,0.2,0.2,0,0.2555
23,1,543844,426167,0.0031939865,0.9581,0.2421,24814,455023,2536,29305,4033,416,1941,25776,16046,367407,1888,18993,3339,307,1457,16730,137952, 89159,117942,128115,164964,80496,136512,104472,115426,127153,169608,122710,164383,137083,161458,126598,171866,124263,174416,120382,139342,100562,115426,127153,168346,126207,1,0,116042,151453,0.4338,0.4341,0.2,0.4,0,0.1586
23,2,540381,423956,0.0031939865,0.9581,0.2642,20385,446295,2541,35287,4044,423,2433,28973,13862,360146,1893,23724,3327,335,1869,18800,141285, 88546,118170,127815,167799,78472,140958,100387,120535,126719,173990,122073,168786,135376,167086,124260,176452,122759,178520,119233,142054, 98805,120535,126719,172967,124740,1,0,114564,155358,0.4244,0.4247,0.2,0.4,0,0.1586
24,1,542207,420511,0.0001743181,0.9750,0.5770,24725,442201,3208,38490,4213,443,2062,26865,15948,354974,2412,24688,3508,330,1528,17123,140911, 79340,120867,116848,166838,70603,140391, 93018,118348,115467,171834,109642,167408,122721,165102,111855,173952,110574,176043,107265,142251, 89954,118348,115467,170868,112411,2,0,103733,154169,0.4022,0.4025,0.0,0.2,0,0.2546
24,2,542018,429612,0.0001743181,0.9750,0.2551,20474,459117,1869,26102,3864,396,2312,27884,13960,372579,1369,18029,3158,312,1798,18407,138326, 98365,115245,139083,165925,88364,137079,111841,117613,138405,171764,135141,165761,149738,163441,139002,174367,136448,176892,132350,139145,109413,117613,138405,170445,138536,2,0,126873,152641,0.4539,0.4541,0.2,0.2,0,0.2546
25,1,540546,429308,0.0028896216,0.9804,0.2689,21465,468282,1880,14581,3872,379,2416,27671,14600,379159,1361,10471,3150,298,1880,18389,140275, 96150,117905,136354,167899,86374,139871,108679,120757,136194,176582,134481,171018,148813,168485,138206,179333,135386,182100,131272,141488,106889,120757,136194,175504,137632,1,0,125191,156422,0.4445,0.4447,0.2,0.4,0,0.1586
25,2,543679,420815,0.0028896216,0.9804,0.4610,23734,433036,3197,50011,4205,460,1958,27078,15308,348394,2420,32246,3516,344,1446,17141,138962, 81556,118207,119576,164865,72593,137599, 96180,115204,117678,167017,110302,162151,123646,160059,112651,168985,111636,170836,108343,139908, 92478,115204,117678,165809,113316,1,0,105415,150388,0.4121,0.4125,0.2,0.4,0,0.1586
26,1,542124,424868,0.0000212133,0.9527,0.1500,20790,446927,2549,35514,4099,444,2454,29347,14134,360407,1903,23854,3358,356,1883,18973,140683, 89023,117390,128703,167504,78901,140190,101170,119833,127575,173722,122991,168371,136513,166570,125377,176151,123845,178436,120074,141443, 99449,119833,127575,172650,125760,2,0,115417,154885,0.4270,0.4272,0.2,0.4,0,0.1586
26,2,542101,425255,0.0000212133,0.9527,0.2569,24409,454391,2528,29078,3978,395,1920,25402,15774,367146,1878,18863,3308,286,1443,16557,138555, 88683,118722,127227,165259,80067,137280,103689,116128,126297,169876,121792,164798,135946,161974,125480,172168,123177,174499,119541,139953, 99918,116128,126297,168663,125187,2,0,115189,151925,0.4312,0.4315,0.2,0.4,0,0.1586
27,1,542824,423032,0.0013124582,0.9695,0.2748,23987,448268,2320,36665,3740,391,2098,25355,15469,361190,1703,23308,3103,281,1606,16372,148416, 79140,128347,116662,173258,71547,147513, 92940,126500,116216,182396,111097,178076,124198,175470,113307,185334,111510,186890,108542,149383, 90074,126500,116216,181633,113731,1,0,104515,163219,0.3904,0.3906,0.0,0.2,0,0.2579
27,2,541401,427091,0.0013124582,0.9695,0.3146,21212,453050,2757,27927,4337,448,2276,29394,14439,366363,2078,19409,3563,361,1720,19158,130822, 98566,107765,139268,159506,87420,129957,111919,109461,137656,161203,133686,155093,148261,153073,137550,162985,135511,166046,131072,132013,109293,109461,137656,159680,137216,1,0,126091,143591,0.4676,0.4678,0.2,0.2,0,0.2579
28,1,540881,420676,0.0022716687,0.9728,0.3013,24182,443393,2387,39462,3798,402,1905,25352,15599,356925,1754,25231,3153,291,1440,16283,141527, 82413,121426,120569,166200,75168,140055, 97230,117980,119945,172089,113609,166913,127617,164477,116721,174426,114745,176089,111636,142301, 93847,117980,119945,170799,116866,1,0,107964,154117,0.4119,0.4122,0.1,0.3,0,0.2078
28,2,543344,429447,0.0022716687,0.9728,0.2534,21017,457925,2690,25130,4279,437,2469,29397,14309,370628,2027,17486,3513,351,1886,19247,137711, 95292,114686,135362,166564,83800,137415,107629,117981,133927,171510,131174,166257,144842,164067,134137,173893,132276,176846,127979,139094,105520,117981,133927,170515,134082,1,0,122642,152693,0.4454,0.4457,0.2,0.3,0,0.2078
29,1,540792,434063,0.0024358413,0.9685,0.1717,22508,467281,2043,14546,4431,364,2394,27225,15660,382259,1539,10385,3674,296,1893,18357,131821,106655,111762,146950,161057,96720,133079,118513,113559,148605,166234,149608,161129,164208,158881,153004,168900,150446,172320,145830,134431,117210,113559,148605,165493,152620,2,0,138054,147874,0.4828,0.4827,0.3,0.3,0,0.1987
29,2,543433,416060,0.0024358413,0.9685,0.3619,22691,434037,3034,50046,3646,475,1980,27524,14248,345294,2242,32332,2992,346,1433,17173,147416, 71050,124350,108980,171707,62247,144391, 86346,122402,105268,177365, 95174,172040,108251,169663, 97853,179419, 96575,180615, 93785,146965, 82157,122402,105268,175820, 98328,2,0, 92552,158936,0.3680,0.3688,0.0,0.3,0,0.1987
30,1,544567,422194,0.0045276580,0.9712,0.3610,24015,439570,2383,47014,3783,407,1894,25501,15448,353567,1757,30172,3155,292,1426,16377,139833, 84325,119811,122378,164373,77212,138251, 99282,116454,121782,170240,115528,165067,129617,162599,118723,172486,116799,174172,113734,140566, 95801,116454,121782,168913,118880,1,0,109937,152328,0.4192,0.4195,0.2,0.4,0,0.1586
30,2,539658,427929,0.0045276580,0.9712,0.2097,21184,461748,2694,17578,4294,432,2480,29248,14460,373986,2024,12545,3511,350,1900,19153,139404, 93380,116301,133552,168390,81755,139219,105577,119507,132091,173359,129255,168102,142842,165945,132134,175832,130223,178763,125881,140830,103566,119507,132091,172401,132067,1,0,120669,154482,0.4386,0.4387,0.2,0.4,0,0.1586
31,1,540395,426986,0.0031681616,0.9744,0.2130,20072,454483,1851,29710,3805,383,2276,27815,13636,368288,1353,20218,3112,301,1756,18322,137122, 97437,114050,138024,164669,87403,135633,111176,116520,137324,170320,133432,164269,147971,162031,137308,172850,134805,175304,130760,137869,108510,116520,137324,168955,136856,1,0,125564,151277,0.4536,0.4538,0.2,0.2,0,0.2555
31,2,543830,423137,0.0031681616,0.9744,0.4033,25127,446835,3226,34882,4272,456,2098,26934,16272,359265,2428,22499,3554,341,1570,17208,142116, 80269,122062,117906,168094,71564,141837, 93683,119441,116549,173279,111351,168900,124488,166513,113550,175469,112216,177632,108855,143527, 90857,119441,116549,172358,114092,1,0,105043,155534,0.4031,0.4034,0.0,0.2,0,0.2555
32,1,543002,430763,0.0016408033,0.9804,0.3043,20510,461252,1891,25089,3814,392,2337,27717,14009,374297,1378,17440,3115,307,1820,18397,139490, 97902,116328,138588,167117,87845,138344,111141,119150,137697,173928,134607,167983,149081,165670,138435,176437,135861,179045,131749,140321,108869,119150,137697,172612,137947,2,0,126291,154349,0.4500,0.4503,0.2,0.2,0,0.2543
32,2,541223,419360,0.0016408033,0.9804,0.5861,24689,440066,3186,39503,4263,447,2037,27032,15899,353256,2403,25277,3551,335,1506,17133,139747, 79803,119784,117342,165647,71123,139126, 93717,116811,116175,169671,110176,165186,123378,162874,112422,171882,111161,173890,107866,141075, 90498,116811,116175,168701,113000,2,0,104316,152461,0.4063,0.4065,0.0,0.2,0,0.2543
33,1,541265,427982,0.0015633286,0.9761,0.2291,20061,456534,1854,28441,3813,383,2281,27898,13640,369953,1353,19479,3116,301,1761,18379,137891, 97685,114642,138555,165629,87547,136419,111483,117145,137724,171194,133694,165120,148317,162852,137627,173739,135094,176201,131019,138646,108817,117145,137724,169821,137151,1,0,125874,152083,0.4529,0.4531,0.2,0.2,0,0.2551
33,2,542960,422141,0.0015633286,0.9761,0.4217,25138,444784,3223,36151,4264,456,2093,26851,16268,357600,2428,23238,3550,341,1565,17151,141346, 80021,121470,117376,167135,71420,141051, 93375,118817,116148,172404,111089,168049,124142,165692,113231,174580,111928,176734,108596,142750, 90550,118817,116148,171492,113797,1,0,104732,154727,0.4037,0.4039,0.0,0.2,0,0.2551
34,1,544807,420153,0.0049703705,0.9712,0.4451,23378,443214,3121,41373,3633,435,1971,27682,14721,354328,2329,26614,3003,335,1456,17367,147990, 77366,123167,119590,176674,66250,143859, 95495,122498,114423,178442,103032,172531,117176,169858,107134,179559,105826,182224,101494,147922, 89677,122498,114423,176523,106933,1,0,100778,159680,0.3869,0.3876,0.0,0.2,0,0.2563
34,2,539418,429970,0.0049703705,0.9712,0.1951,21821,458104,1956,23219,4444,404,2403,27067,15187,373225,1452,16103,3663,307,1870,18163,131247,100339,112945,136340,156090,92718,133611,109364,113463,139449,165157,141751,160638,155283,158686,143723,168759,141196,170711,138121,133474,109690,113463,139449,164790,144015,1,0,129828,147130,0.4688,0.4686,0.2,0.2,0,0.2563
35,1,540224,413614,0.0034835943,0.9734,0.4476,22638,431062,3031,50035,3597,471,1937,27453,14199,343023,2238,32311,2966,343,1401,17133,146528, 70732,123377,108717,170794,61887,143365, 86127,121530,104799,176108, 94487,170746,107553,168391, 97212,178109, 95933,179269, 93173,146015, 81867,121530,104799,174525, 97671,1,0, 92061,157821,0.3684,0.3692,0.0,0.3,0,0.1979
