draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,919703,692469,0.000163123,0.9781,0.1919,108819,736048, 5198, 9522,10437,1597,4635,43447, 68260,572531,3553, 7094, 8565,1134,3329,28003,220839, 86227,234357, 84659,195396,105230,205234, 92181,199964, 99996,302700,132109,294510,131240,227599, 85444,200199, 99135,298605,131674,1,3,104520,236142,0.3068,0.3074,0,0,0,0.1884
cd_2020,2,919403,683931,0.000163123,0.9781,0.3322,130588,714475, 9587, 9381,15599,1804,3608,34361, 83440,548935,6393, 6841,12443,1308,2598,21973,188215,103539,214659,103589,166264,125853,179556,111102,170690,122040,251418,154911,243934,154623,201437,103564,172171,119666,247677,154768,1,3,125094,202105,0.3823,0.3828,0,0,0,0.1884
1,1,915533,708769,0.004371689,0.9864,0.2411, 68828,760018, 9018, 9129,17043,1596,4775,45126, 45176,603206,5810, 6813,13606,1186,3560,29412,207551,120830,225983,117377,189450,145967,201727,128749,193273,140178,281693,183283,276868,180577,216767,119104,194818,138298,279281,181930,1,1,145280,225220,0.3921,0.3920,0,0,0,0.1884
1,2,923573,667631,0.004371689,0.9864,0.3199,170579,690505, 5767, 9774, 8993,1805,3468,32682,106524,518260,4136, 7122, 7402,1256,2367,20564,201503, 68936,223033, 70872,172210, 85115,183062, 74534,177381, 81858,272425,103737,261577,105286,212268, 69904,177552, 80502,267001,104513,1,1, 84334,213027,0.2836,0.2850,0,0,0,0.1884
2,1,917026,705830,0.002748074,0.9797,0.1913,106761,731606, 6881, 9460,11833,1591,4916,43978, 68126,582635,4529, 7007, 9641,1149,3637,29106,209305,112327,226035,109706,187637,133682,199065,118261,191661,128656,280164,164827,273726,163008,217670,111017,192789,126866,276945,163918,1,2,132924,223941,0.3725,0.3729,0,0,0,0.1884
2,2,922080,670570,0.002748074,0.9797,0.3411,132646,718917, 7904, 9443,14203,1810,3327,33830, 83574,538831,5417, 6928,11367,1293,2290,20870,199749, 77439,222981, 78543,174023, 97400,185724, 85022,178992, 93380,273954,122193,264719,122855,211365, 77991,179581, 91935,269337,122525,1,2, 96690,214307,0.3109,0.3116,0,0,0,0.1884
3,1,915291,661633,0.004634861,0.9868,0.3244,170256,683050, 5800, 9755, 8925,1792,3421,32292,106278,512808,4165, 7102, 7347,1260,2333,20340,199535, 68570,221158, 70630,169651, 84703,180491, 74198,174869, 81437,267678,102823,256663,104512,210346, 69600,175005, 80113,262171,103668,1,1, 83839,210007,0.2853,0.2867,0,0,0,0.1884
3,2,923815,714767,0.004634861,0.9868,0.2453, 69151,767473, 8985, 9148,17111,1609,4822,45516, 45422,608658,5781, 6833,13661,1182,3594,29636,209520,121196,227858,117619,192009,146379,204298,129085,195785,140599,286440,184197,281782,181352,218689,119408,197365,138687,284111,182774,1,1,145775,228241,0.3898,0.3897,0,0,0,0.1884
4,1,919393,676382,0.000173998,0.9725,0.3841,132741,713939, 8425, 9405,15450,1824,3489,34120, 84553,541604,5795, 6893,12311,1303,2483,21440,189728, 89851,214724, 90072,165782,110760,178250, 97070,170395,106788,258287,137540,249834,137900,202226, 89961,171477,104873,254061,137721,1,2,109997,203858,0.3505,0.3512,0,0,0,0.1884
4,2,919713,700018,0.000173998,0.9725,0.1879,106666,736584, 6360, 9498,10586,1577,4754,43688, 67147,579862,4151, 7042, 8697,1139,3444,28536,219326, 99915,234292, 98176,195878,120322,206540,106213,200258,115248,295831,149479,288611,147963,226809, 99047,200893,113927,292221,148722,1,2,119617,234389,0.3379,0.3383,0,0,0,0.1884
5,1,919442,666107,0.000120711,0.9860,0.3658,169903,687538, 5718, 9794, 8803,1772,3507,32407,106150,517323,4101, 7148, 7247,1237,2411,20490,200849, 69761,222528, 71839,170764, 86129,181726, 75468,176098, 82737,269275,104325,258189,106064,211688, 70800,176197, 81445,263733,105195,1,0, 85189,211347,0.2873,0.2887,0,0,0,0.1884
5,2,919664,710293,0.000120711,0.9860,0.2097, 69504,762985, 9067, 9109,17233,1629,4736,45401, 45550,604143,5845, 6787,13761,1205,3516,29486,208205,120005,226488,116409,190896,144953,203064,127815,194555,139299,284843,182695,280255,179799,217347,118207,196173,137355,282549,181247,1,0,144425,226900,0.3889,0.3888,0,0,0,0.1884
6,1,915965,709343,0.003901896,0.9888,0.2458, 68539,760941, 8943, 9105,17001,1593,4758,45085, 45064,604007,5767, 6794,13575,1180,3540,29416,207912,120821,226184,117236,190165,145790,202448,128558,193945,140044,282828,183306,278170,180467,217048,119029,195520,138130,280499,181887,1,2,145175,225949,0.3912,0.3910,0,0,0,0.1884
6,2,923141,667057,0.003901896,0.9888,0.3253,170868,689582, 5842, 9798, 9035,1808,3485,32723,106636,517459,4179, 7141, 7433,1262,2387,20560,201143, 68945,222832, 71013,171495, 85292,182341, 74725,176709, 81992,271290,103714,260275,105396,211987, 69979,176850, 80670,265783,104555,1,2, 84439,212298,0.2846,0.2859,0,0,0,0.1884
7,1,919582,691705,0.000031537,0.9781,0.1761,112497,730121, 5970, 9645,11206,1633,4569,43941, 70690,567751,4173, 7152, 9221,1157,3272,28289,218201, 84561,231679, 83036,192605,103194,202241, 90578,197100, 98248,298683,129358,290424,128684,224941, 83799,197317, 97340,294553,129021,1,3,102523,232989,0.3056,0.3062,0,0,0,0.1884
7,2,919524,684695,0.000031537,0.9781,0.3444,126910,720402, 8815, 9258,14830,1768,3674,33867, 81010,553715,5773, 6783,11787,1285,2655,21687,190853,105205,217337,105212,169055,127888,182549,112704,173554,123788,255435,157662,248021,157179,204095,105208,175053,121461,251729,157421,1,3,127091,205258,0.3824,0.3828,0,0,0,0.1884
8,1,920579,685779,0.001115760,0.9817,0.4063,131632,714482, 9784, 9652,15386,1906,3626,34111, 84412,549546,6548, 7115,12302,1384,2596,21876,188201,100871,213632,101202,164717,123131,177921,108637,169385,119142,250696,150823,242591,150939,200916,101037,170676,116971,246644,150882,1,3,122107,201021,0.3779,0.3785,0,0,0,0.1884
8,2,918527,690621,0.001115760,0.9817,0.2026,107775,736041, 5001, 9251,10650,1495,4617,43697, 67288,571920,3398, 6820, 8706,1058,3331,28100,220854, 88895,235384, 87046,196943,107951,206868, 94645,201268,102894,303422,136197,295854,134924,228120, 87971,201694,101830,299638,135560,1,3,107507,237226,0.3119,0.3123,0,0,0,0.1884
9,1,920062,664855,0.000553530,0.9888,0.3114,172539,685257, 5726, 9837, 8881,1785,3450,32587,107661,514465,4106, 7163, 7317,1244,2348,20551,200399, 68294,221905, 70364,170063, 84199,180842, 73801,175314, 80962,268898,102036,257760,103830,211152, 69329,175407, 79654,263330,102934,1,1, 83355,210740,0.2834,0.2849,0,0,0,0.1884
9,2,919044,711545,0.000553530,0.9888,0.2527, 66868,765266, 9059, 9066,17155,1616,4793,45221, 44039,607001,5840, 6772,13691,1198,3579,29425,208655,121472,227111,117884,191597,146883,203948,129481,195340,141074,285220,184984,280685,182033,217884,119679,196963,139146,282952,183509,1,1,146259,227507,0.3913,0.3912,0,0,0,0.1884
10,1,919263,711264,0.000315371,0.9852,0.1988, 69066,761620, 9705, 9133,17767,1689,4786,45497, 45519,604025,6345, 6813,14218,1241,3582,29521,205597,121410,224545,117557,188276,146730,200776,129253,192140,140840,279734,184601,275346,181609,215071,119484,193732,138941,277540,183105,1,0,146000,223773,0.3948,0.3946,0,0,0,0.1884
10,2,919843,665136,0.000315371,0.9852,0.2502,170341,688903, 5080, 9770, 8269,1712,3457,32311,106181,517441,3601, 7122, 6790,1201,2345,20455,203457, 68356,224471, 70691,173384, 84352,184014, 74030,178513, 81196,274384,102419,263098,104254,213964, 69524,178638, 79860,268742,103337,1,0, 83614,214474,0.2805,0.2819,0,0,0,0.1884
11,1,916614,673073,0.003196118,0.9749,0.3375,131812,713704, 8246, 9444,14483,1840,3459,33626, 83760,540292,5706, 6921,11578,1309,2446,21061,194070, 84151,218025, 84871,168535,104806,180804, 91694,173421,100748,264340,130131,255463,130699,206048, 84511,174255, 99083,259903,130416,1,2,103871,207809,0.3333,0.3341,0,0,0,0.1884
11,2,922492,703327,0.003196118,0.9749,0.1895,107595,736819, 6539, 9459,11553,1561,4784,44182, 67940,581174,4240, 7014, 9430,1133,3481,28915,214984,105615,230991,103378,193124,126276,203986,111588,197233,121288,289778,156889,282982,155164,222987,104497,198115,119717,286379,156027,1,2,125743,230438,0.3530,0.3534,0,0,0,0.1884
12,1,920147,694127,0.000645966,0.9805,0.1656,110705,732263, 5959, 9380,11544,1597,4610,44089, 69456,571242,4065, 6924, 9492,1137,3318,28493,220032, 90604,234823, 88662,195395,109343,205471, 95965,199741,104340,298741,137281,291118,135978,227428, 89634,200204,103216,294929,136630,1,2,108882,235045,0.3166,0.3170,0,0,0,0.1884
12,2,918959,682273,0.000645966,0.9805,0.3282,128702,718260, 8826, 9523,14492,1804,3633,33719, 82244,550224,5881, 7011,11516,1305,2609,21483,189022, 99162,214193, 99586,166265,121739,179318,107318,170912,117696,255377,149739,247326,149885,201607, 99374,172166,115585,251353,149812,1,2,120732,203203,0.3727,0.3733,0,0,0,0.1884
13,1,921734,702383,0.002371805,0.9749,0.1712,115346,724463, 8289, 9844,12691,1829,4808,44464, 73443,571643,5565, 7355,10426,1301,3567,29083,209424, 93889,224366, 92487,181884,115303,192813,101067,187177,109392,280430,141414,271760,141440,216895, 93189,187293,108587,276095,141427,1,3,113571,221121,0.3393,0.3400,0,0,0,0.1884
13,2,917372,674017,0.002371805,0.9749,0.2804,124061,726060, 6496, 9059,13345,1572,3435,33344, 78257,549823,4381, 6580,10582,1141,2360,20893,199630, 95877,224650, 95761,179776,115779,191977,102215,183476,112644,273688,145606,266684,144423,212140, 95819,185077,110214,270187,145016,1,3,116044,217126,0.3483,0.3488,0,0,0,0.1884
14,1,921245,694800,0.001840024,0.9789,0.2646,105755,739208, 5424, 8968,11707,1570,4619,43994, 66147,576033,3617, 6649, 9551,1123,3319,28361,221052, 92165,236564, 90167,197785,112002,208140, 98035,202163,106758,302305,141184,295054,139667,228809, 91167,202697,105598,298679,140425,1,2,111425,237579,0.3193,0.3196,0,0,0,0.1884
14,2,917861,681600,0.001840024,0.9789,0.4046,133652,711315, 9361, 9935,14329,1831,3624,33814, 85553,545433,6329, 7286,11457,1319,2608,21615,188002, 97601,212452, 98081,163875,119080,176650,105248,168490,115278,251813,145836,243391,146196,200226, 97841,169673,113203,247603,146017,1,2,118189,200668,0.3707,0.3714,0,0,0,0.1884
15,1,921553,690896,0.002174970,0.9825,0.2037, 93784,760732, 3767,14146, 7885,1219,3948,36072, 59580,584545,2842,10184, 6639, 913,2836,23357,228239, 80562,252180, 81957,195455, 94685,203107, 86612,198839, 92765,310733,116633,300491,115889,240210, 81260,199135, 91354,305613,116262,1,0, 95586,241292,0.2837,0.2858,0,0,0,0.1884
15,2,917553,685504,0.002174970,0.9825,0.4024,145623,689791,11018, 4757,18151,2182,4295,41736, 92120,536921,7104, 3751,14369,1529,3091,26619,180815,109204,196836,106291,166205,136397,181682,116671,171815,129271,243385,170386,237953,169974,188825,107748,173235,127447,240669,170181,1,0,134028,196955,0.4049,0.4038,0,0,0,0.1884
16,1,916613,682601,0.003197206,0.9817,0.4381,147929,686764,11038, 4845,18076,2204,4282,41475, 93499,532836,7110, 3830,14296,1536,3074,26420,182627,104354,198052,101820,167360,130878,182461,111675,172688,124134,245874,163655,239979,163441,190339,103087,174171,122229,242927,163549,1,0,128565,198434,0.3932,0.3921,0,0,0,0.1884
16,2,922493,693799,0.003197206,0.9817,0.2319, 91478,763759, 3747,14058, 7960,1197,3961,36333, 58201,588630,2836,10105, 6712, 906,2853,23556,226428, 85412,250964, 86429,194300,100204,202329, 91608,197966, 97902,308244,123364,298466,122422,238696, 85920,198199, 96571,303355,122894,1,0,101049,239814,0.2965,0.2985,0,0,0,0.1884
17,1,923235,667118,0.004004119,0.9880,0.2964,172847,687899, 5732, 9848, 8900,1787,3465,32757,107848,516380,4112, 7174, 7328,1246,2363,20667,201310, 68432,222796, 70517,170842, 84392,181660, 73963,176131, 81135,270150,102200,258941,104037,212053, 69474,176212, 79830,264546,103120,1,1, 83525,211690,0.2829,0.2844,0,0,0,0.1884
17,2,915871,709282,0.004004119,0.9880,0.2362, 66560,762624, 9053, 9055,17136,1614,4778,45051, 43852,605086,5834, 6761,13680,1196,3564,29309,207745,121334,226220,117732,190818,146690,203129,129319,194522,140901,283968,184820,279504,181826,216983,119533,196158,138970,281736,183323,1,1,146089,226557,0.3920,0.3919,0,0,0,0.1884
18,1,921025,693428,0.001600778,0.9777,0.2062, 89314,763791, 3768,14100, 8057,1214,4006,36775, 56717,589222,2855,10132, 6794, 926,2906,23876,226598, 85937,251118, 86951,195018,100986,203048, 92221,198691, 98582,308439,124067,298721,123171,238859, 86444,198920, 97263,303581,123619,1,1,101702,240234,0.2974,0.2994,0,0,0,0.1884
18,2,918081,682972,0.001600778,0.9777,0.3501,150093,686732,11017, 4803,17979,2187,4237,41033, 94983,532244,7091, 3803,14214,1516,3021,26100,182456,103829,197898,101297,166642,130096,181741,111062,171962,123454,245679,162953,239723,162692,190176,102563,173450,121538,242701,162823,1,1,127912,198014,0.3925,0.3914,0,0,0,0.1884
19,1,918495,684017,0.001150559,0.9817,0.4152,148048,688428,11040, 4849,18086,2204,4287,41553, 93568,534123,7110, 3831,14304,1536,3078,26467,183357,104497,198795,101974,168004,131076,183159,111818,173369,124297,246788,163850,240857,163645,191076,103236,174845,122397,243823,163748,1,0,128737,199189,0.3926,0.3915,0,0,0,0.1884
19,2,920611,692383,0.001150559,0.9817,0.2169, 91359,762095, 3745,14054, 7950,1197,3956,36255, 58132,587343,2836,10104, 6704, 906,2849,23509,225697, 85269,250221, 86274,193656,100006,201630, 91465,197284, 97739,307330,123170,297588,122218,237960, 85772,197525, 96403,302459,122695,1,0,100878,239058,0.2968,0.2988,0,0,0,0.1884
20,1,919578,711766,0.000027187,0.9872,0.2451, 68989,763687, 9003, 9122,17091,1607,4767,45312, 45332,605897,5802, 6811,13640,1194,3550,29540,208431,121140,226789,117557,190667,146208,202975,128917,194460,140415,283786,183880,279074,181047,217610,119349,196035,138513,281430,182464,1,2,145595,226597,0.3912,0.3911,0,0,0,0.1884
20,2,919528,664634,0.000027187,0.9872,0.3246,170418,686836, 5782, 9781, 8945,1794,3476,32496,106368,515569,4144, 7124, 7368,1248,2377,20436,200623, 68626,222227, 70691,170993, 84874,181815, 74366,176194, 81621,270332,103140,259371,104816,211425, 69658,176335, 80287,264851,103979,1,2, 84019,211651,0.2842,0.2855,0,0,0,0.1884
21,1,917376,711177,0.002367455,0.9880,0.2447, 68267,762371, 8931, 9113,17115,1616,4814,45149, 44924,605799,5757, 6804,13654,1197,3582,29460,208912,121443,227402,117861,191567,146509,203818,129271,195314,140763,284463,184308,279921,181313,218157,119653,196901,138848,282192,182811,1,1,145924,227342,0.3909,0.3908,0,0,0,0.1884
21,2,921730,665223,0.002367455,0.9880,0.3241,171140,688152, 5854, 9790, 8921,1785,3429,32659,106776,515667,4189, 7131, 7354,1245,2345,20516,200142, 68323,221614, 70388,170093, 84573,180971, 74012,175339, 81273,269655,102712,258524,104551,210878, 69355,175469, 79953,264090,103632,1,1, 83690,210906,0.2841,0.2855,0,0,0,0.1884
22,1,922381,713822,0.003075407,0.9837,0.2236, 68272,766153, 9414, 9105,17515,1658,4807,45457, 44949,607605,6126, 6797,13984,1222,3587,29552,208183,121549,226740,117904,191005,146902,203346,129510,194723,141105,284175,185234,279652,182228,217462,119727,196359,139172,281914,183731,1,1,146348,226831,0.3922,0.3920,0,0,0,0.1884
22,2,916725,662578,0.003075407,0.9837,0.2786,171135,684370, 5371, 9798, 8521,1743,3436,32351,106751,513861,3820, 7138, 7024,1220,2340,20424,200871, 68217,222276, 70344,170655, 84181,181444, 73773,175930, 80931,269943,101786,258793,103636,211573, 69281,176011, 79628,264368,102711,1,1, 83267,211416,0.2826,0.2840,0,0,0,0.1884
23,1,919805,664822,0.000274046,0.9868,0.3008,172734,684698, 5711, 9845, 8894,1786,3449,32688,107810,514197,4097, 7173, 7325,1245,2353,20622,200118, 68232,221517, 70335,169483, 84165,180309, 73755,174778, 80906,268978,101981,257746,103827,210817, 69284,174858, 79609,263363,102905,1,0, 83314,210418,0.2836,0.2851,0,0,0,0.1884
23,2,919301,711578,0.000274046,0.9868,0.2401, 66673,765825, 9074, 9058,17142,1615,4794,45120, 43890,607269,5849, 6762,13683,1197,3574,29354,208937,121533,227499,117914,192177,146917,204481,129528,195876,141130,285140,185039,280698,182036,218218,119724,197513,139192,282919,183538,1,0,146300,227829,0.3910,0.3908,0,0,0,0.1884
24,1,921861,714034,0.002509915,0.9868,0.2417, 69260,765580, 9007, 9169,16959,1616,4792,45478, 45487,607929,5812, 6849,13543,1190,3577,29647,210506,121540,228677,118045,192152,146602,204535,129283,196023,140777,285954,184039,281154,181300,219591,119793,197571,138887,283555,182669,1,1,145941,228428,0.3898,0.3897,0,0,0,0.1884
24,2,917245,662366,0.002509915,0.9868,0.3202,170147,684943, 5778, 9734, 9077,1785,3451,32330,106213,513537,4134, 7086, 7465,1252,2350,20329,198548, 68226,220339, 70203,169508, 84480,180254, 74000,174630, 81259,268164,102981,257290,104563,209444, 69214,174799, 79913,262727,103773,1,1, 83673,209819,0.2851,0.2864,0,0,0,0.1884
25,1,922588,674144,0.003300517,0.9689,0.3324,133130,719531, 7461, 9707,13852,1778,3524,33605, 84438,541679,5220, 7101,11050,1264,2448,20944,196258, 81623,219980, 82004,172156,101199,183831, 88686,176627, 97541,270391,127064,261734,127264,208119, 81813,177539, 95810,266063,127165,1,3,100769,211568,0.3226,0.3234,0,0,0,0.1884
25,2,916518,702256,0.003300517,0.9689,0.2367,106277,730992, 7324, 9196,12184,1623,4719,44203, 67262,579787,4726, 6834, 9958,1178,3479,29032,212796,108143,229036,106245,189504,129883,200958,114597,194026,124495,283727,159956,276711,158599,220917,107194,194831,122991,280219,159277,1,3,128845,226679,0.3624,0.3628,0,0,0,0.1884
26,1,915514,708818,0.004392352,0.9876,0.2326, 66547,762350, 9056, 9050,17125,1614,4764,45008, 43835,604728,5832, 6755,13668,1192,3555,29253,207751,121300,226214,117684,190856,146640,203166,129270,194555,140849,283920,184756,279475,181758,216983,119493,196193,138920,281698,183257,1,0,146037,226562,0.3919,0.3918,0,0,0,0.1884
26,2,923592,667582,0.004392352,0.9876,0.2929,172860,688173, 5729, 9853, 8911,1787,3479,32800,107865,516738,4114, 7180, 7340,1250,2372,20723,201303, 68466,222802, 70565,170804, 84442,181624, 74013,176099, 81187,270198,102264,258969,104106,212052, 69515,176177, 79881,264584,103185,1,0, 83577,211686,0.2831,0.2845,0,0,0,0.1884
27,1,920737,711283,0.001287582,0.9841,0.2308, 68687,765018, 9169, 9048,17198,1632,4791,45194, 44955,605835,5898, 6739,13726,1209,3576,29345,207300,121446,226128,117772,190607,146962,202957,129526,194343,141136,283590,185380,279074,182406,216715,119610,195970,139208,281332,183893,1,1,146376,226285,0.3928,0.3926,0,0,0,0.1884
27,2,918369,665117,0.001287582,0.9841,0.2567,170720,685505, 5616, 9855, 8838,1769,3452,32614,106745,515631,4048, 7196, 7282,1233,2351,20631,201754, 68320,222888, 70476,171053, 84120,181833, 73756,176311, 80900,270528,101640,259371,103457,212321, 69398,176400, 79592,264950,102549,1,1, 83238,211963,0.2820,0.2835,0,0,0,0.1884
28,1,922073,684833,0.002740462,0.9673,0.2217,104823,738680, 9748, 9251,17283,1935,3903,36450, 67244,563486,6524, 6796,13783,1408,2806,22786,188742,105243,215525,104725,172432,131003,185892,114859,176860,126215,262344,164495,256760,163107,202133,104984,178396,124026,259553,163802,1,4,129950,208365,0.3841,0.3841,0,0,0,0.1884
28,2,917033,691567,0.002740462,0.9673,0.1704,134584,711843, 5037, 9652, 8753,1466,4340,41358, 84456,557980,3422, 7139, 7225,1034,3121,27190,220312, 84522,233491, 83523,189228,100079,198898, 88424,193793, 95821,291774,122525,281684,122756,226902, 84024,193974, 94774,286729,122641,1,4, 99665,229882,0.3024,0.3035,0,0,0,0.1884
29,1,918538,663995,0.001103797,0.9872,0.3239,170656,685632, 5835, 9762, 8982,1805,3417,32449,106514,514760,4184, 7109, 7398,1269,2333,20428,200359, 69005,222019, 71077,170333, 85200,181246, 74605,175593, 81885,268539,103414,257530,105082,211189, 70040,175725, 80564,263035,104248,1,1, 84324,210803,0.2857,0.2871,0,0,0,0.1884
29,2,920568,712405,0.001103797,0.9872,0.2449, 68751,764891, 8950, 9141,17054,1596,4826,45359, 45186,606706,5762, 6826,13610,1173,3594,29548,208695,120761,226997,117172,191327,145882,203544,128677,195060,140151,285579,183606,280915,180781,217846,118967,196645,138237,283247,182194,1,1,145291,227444,0.3898,0.3897,0,0,0,0.1884
30,1,916383,681048,0.003447327,0.9801,0.3496,133079,709067, 9913, 9919,15023,1892,3575,33915, 85284,544312,6590, 7283,11960,1372,2556,21691,186081, 99061,211321, 99480,162713,120952,175575,106841,167306,117054,248422,148265,240405,148426,198701, 99270,168533,114950,244414,148346,1,2,120012,198832,0.3764,0.3770,0,0,0,0.1884
30,2,922723,695352,0.003447327,0.9801,0.2503,106328,741456, 4872, 8984,11013,1509,4668,43893, 66416,577154,3356, 6652, 9048,1070,3371,28285,222973, 90705,237695, 88768,198947,110130,209214, 96441,203347,104982,305696,138755,298039,137438,230335, 89738,203837,103850,301867,138096,1,2,109603,239415,0.3140,0.3145,0,0,0,0.1884
31,1,922754,668835,0.003481039,0.9837,0.3690,170037,690505, 5721, 9819, 8820,1772,3522,32558,106242,519805,4104, 7172, 7264,1237,2416,20595,202055, 70104,223705, 72215,171780, 86624,182824, 75865,177158, 83177,270927,104886,259760,106647,212880, 71160,177255, 81889,265344,105767,1,0, 85646,212601,0.2872,0.2885,0,0,0,0.1884
31,2,916352,707565,0.003481039,0.9837,0.2045, 69370,760018, 9064, 9084,17216,1629,4721,45250, 45458,601661,5842, 6763,13744,1205,3511,29381,206999,119661,225311,116033,189880,144457,201966,127417,193495,138859,283191,182134,278685,179216,216155,117848,195115,136911,280938,180675,1,0,143969,225646,0.3895,0.3894,0,0,0,0.1884
32,1,921388,666909,0.001995535,0.9848,0.2580,172074,686901, 5697, 9852, 8894,1775,3462,32733,107543,516469,4095, 7190, 7328,1236,2359,20689,201976, 68490,223246, 70637,171261, 84390,182110, 73963,176551, 81141,271537,102185,260308,104033,212611, 69563,176642, 79832,265923,103110,1,2, 83549,212427,0.2823,0.2838,0,0,0,0.1884
32,2,917718,709491,0.001995535,0.9848,0.2323, 67333,763622, 9088, 9051,17142,1626,4781,45075, 44157,604997,5851, 6745,13680,1206,3568,29287,207078,121276,225770,117612,190398,146692,202680,129320,194102,140895,282581,184835,278137,181830,216425,119444,195728,138969,280359,183333,1,2,146066,225820,0.3928,0.3926,0,0,0,0.1884
33,1,920987,670206,0.001559453,0.9749,0.3307,130677,720192, 7165, 9331,14893,1771,3310,33648, 82323,539963,4998, 6829,11794,1266,2263,20770,198235, 81887,222531, 82108,173727,101000,185627, 88222,178240, 97284,271869,127599,263313,127691,210383, 81998,179199, 95503,267592,127646,1,2,100828,213364,0.3209,0.3215,0,0,0,0.1884
33,2,918119,706194,0.001559453,0.9749,0.1864,108730,730331, 7620, 9572,11143,1630,4933,44160, 69377,581503,4948, 7106, 9214,1176,3664,29206,210820,107879,226485,106140,187933,130082,199163,115061,192413,124752,282249,159421,275131,158172,218652,107010,193171,123298,278690,158797,1,2,128787,224884,0.3641,0.3646,0,0,0,0.1884
34,1,918350,663510,0.001308244,0.9884,0.3148,171807,684426, 5720, 9804, 8870,1778,3440,32505,107224,513662,4102, 7137, 7301,1241,2350,20493,200346, 68182,221819, 70264,170049, 84080,180813, 73695,175291, 80844,268835,101846,257712,103633,211082, 69223,175386, 79540,263274,102740,1,1, 83220,210695,0.2831,0.2846,0,0,0,0.1884
34,2,920756,712890,0.001308244,0.9884,0.2516, 67600,766097, 9065, 9099,17166,1623,4803,45303, 44476,607804,5844, 6798,13707,1201,3577,29483,208708,121584,227197,117984,191611,147002,203976,129588,195362,141192,285283,185174,280733,182230,217953,119785,196984,139260,283008,183702,1,1,146394,227552,0.3915,0.3913,0,0,0,0.1884
35,1,921850,693070,0.002497953,0.9801,0.2078, 93256,761499, 3901,13964, 8189,1216,3941,35884, 59505,586804,2919,10041, 6908, 918,2854,23121,222046, 89859,247959, 90407,191305,104853,199677, 95757,194796,102626,302827,130072,293807,128552,235003, 90133,195261,101079,298317,129312,1,1,106018,236060,0.3099,0.3119,0,0,0,0.1884
35,2,917256,683330,0.002497953,0.9801,0.3610,146151,689024,10884, 4939,17847,2185,4302,41924, 92195,534662,7027, 3894,14100,1524,3073,26855,187008, 99907,201057, 97841,170355,126229,185113,107526,175858,119410,251291,156948,244638,157311,194033, 98875,177109,117722,247965,157130,1,1,123596,202188,0.3794,0.3784,0,0,0,0.1884
36,1,920859,665467,0.001420255,0.9880,0.3190,170417,688067, 5774, 9778, 8969,1802,3454,32598,106383,516328,4134, 7129, 7382,1256,2356,20499,200372, 68558,221989, 70515,171447, 84731,182240, 74243,176623, 81495,271487,103220,260620,104781,211181, 69537,176771, 80156,266054,104001,1,1, 83935,212111,0.2835,0.2849,0,0,0,0.1884
36,2,918247,710933,0.001420255,0.9880,0.2406, 68990,762456, 9011, 9125,17067,1599,4789,45210, 45317,605138,5812, 6806,13626,1186,3571,29477,208682,121207,227027,117734,190213,146351,202549,129040,194030,140541,282631,183800,277825,181082,217855,119471,195599,138644,280228,182441,1,1,145679,226136,0.3918,0.3917,0,0,0,0.1884
37,1,919273,683283,0.000304496,0.9825,0.3455,131193,714311, 9435, 9557,15210,1893,3571,34103, 84039,548038,6359, 7026,12160,1374,2567,21720,186630,100985,212477,101064,164144,122771,177213,108328,168654,118898,250634,151405,242888,151224,199553,101025,170005,116666,246762,151316,1,3,122097,200378,0.3786,0.3792,0,0,0,0.1884
37,2,919833,693117,0.000304496,0.9825,0.1935,108214,736212, 5350, 9346,10826,1508,4672,43705, 67661,573428,3587, 6909, 8848,1068,3360,28256,222424, 88781,236539, 87184,197516,108311,207577, 94955,201999,103138,303484,135614,295557,134639,229482, 87983,202365,102134,299520,135126,1,3,107517,237870,0.3113,0.3118,0,0,0,0.1884
38,1,919271,694027,0.000306671,0.9829,0.1928,107190,737678, 5298, 9294,10071,1481,4707,43552, 67081,575633,3488, 6868, 8310,1051,3406,28190,221040, 92932,235367, 91179,197098,112296,207290, 98756,201384,107316,301665,140704,294084,139395,228203, 92056,201925,106122,297874,140050,1,3,111797,236846,0.3207,0.3212,0,0,0,0.1884
38,2,919835,682373,0.000306671,0.9829,0.3443,132217,712845, 9487, 9609,15965,1920,3536,34256, 84619,545833,6458, 7067,12698,1391,2521,21786,188015, 96834,213649, 97069,164562,118785,177500,104526,169270,114720,252453,146315,244361,146468,200832, 96952,170445,112678,248408,146393,1,3,117817,201402,0.3691,0.3697,0,0,0,0.1884
