draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
2836,2,922369,684140,0.003062357,0.9801,0.4305,131834,717720, 8980, 9661,14477,1855,3651,34191, 84267,549369,6153, 7099,11537,1329,2623,21763,189749, 96092,214561, 96693,165779,118101,178650,104072,170590,114055,256048,145034,247539,145469,202155, 96392,171674,112077,251794,145253,1,2,117074,203274,0.3655,0.3662,0,0,0,0.1884
2837,1,918983,664265,0.000619866,0.9880,0.3012,171983,684838, 5668, 9822, 8816,1766,3448,32642,107347,514212,4084, 7153, 7269,1238,2346,20616,200554, 68254,222009, 70313,170161, 83975,180891, 73671,175403, 80777,269011,101683,257850,103515,211281, 69284,175486, 79475,263431,102599,1,1, 83170,210840,0.2829,0.2843,0,0,0,0.1884
2837,2,920123,712135,0.000619866,0.9880,0.2398, 67424,765685, 9117, 9081,17220,1635,4795,45166, 44353,607254,5862, 6782,13739,1204,3581,29360,208501,121512,227007,117935,191498,147107,203898,129612,195251,141259,285107,185337,280595,182349,217754,119724,196884,139326,282851,183843,1,1,146445,227407,0.3917,0.3915,0,0,0,0.1884
2838,1,922275,668084,0.002960134,0.9844,0.3361,171392,687718, 6199, 9971, 9206,1828,3447,32514,107381,517262,4451, 7321, 7572,1283,2364,20450,199321, 68857,220933, 70879,168961, 84872,179805, 74338,174225, 81541,267055,102960,256011,104679,210127, 69868,174331, 80251,261533,103820,1,0, 84018,209473,0.2863,0.2877,0,0,0,0.1884
2838,2,916831,708316,0.002960134,0.9844,0.2477, 68015,762805, 8586, 8932,16830,1573,4796,45294, 44319,604204,5495, 6614,13436,1159,3563,29526,209733,120909,228083,117369,192699,146210,204985,128945,196429,140495,287063,184060,282434,181184,218908,119139,198039,138550,284748,182622,1,0,145596,228774,0.3889,0.3888,0,0,0,0.1884
2839,1,921680,707061,0.002313080,0.9773,0.1898,105805,737705, 6314, 9439,11941,1509,4972,43995, 67338,585061,4148, 6982, 9746,1081,3656,29049,210509,110699,227316,108047,189873,132218,201026,116947,193770,127234,285032,164020,278736,162076,218913,109373,194891,125466,281883,163048,1,2,131606,226608,0.3674,0.3678,0,0,0,0.1884
2839,2,917426,669339,0.002313080,0.9773,0.3372,133602,712818, 8471, 9464,14095,1892,3271,33813, 84362,536405,5798, 6953,11262,1361,2271,20927,198546, 79067,221700, 80201,171787, 98864,183763, 86335,176883, 94802,269086,123000,259709,123787,210123, 79634,177480, 93335,264399,123394,1,2, 98009,211640,0.3165,0.3173,0,0,0,0.1884
2840,1,915563,708349,0.004339065,0.9864,0.1981, 68383,760363, 9064, 9071,17202,1619,4780,45081, 44941,603053,5837, 6767,13736,1191,3559,29265,206312,121206,225011,117468,189231,146476,201668,129061,193076,140616,282221,184610,277899,181560,215662,119338,194660,138717,280060,183086,1,0,145857,225059,0.3932,0.3931,0,0,0,0.1884
2840,2,923543,668051,0.004339065,0.9864,0.2751,171024,690160, 5721, 9832, 8834,1782,3463,32727,106759,518413,4109, 7168, 7272,1251,2368,20711,202742, 68560,224005, 70780,172429, 84606,183122, 74222,177577, 81420,271897,102409,260545,104303,213373, 69670,177710, 80083,266222,103357,1,0, 83757,213188,0.2821,0.2835,0,0,0,0.1884
2841,1,921887,714266,0.002538190,0.9880,0.2462, 68560,766287, 8967, 9129,17162,1620,4829,45333, 45127,608506,5773, 6814,13696,1198,3589,29563,209803,121582,228290,118027,192629,146869,204972,129541,196416,141073,286355,184909,281792,181911,219047,119805,198007,139161,284073,183410,1,1,146273,228607,0.3902,0.3900,0,0,0,0.1884
