"","draw","district","total_pop","arv_20","adv_20","arv_16","adv_16","nrv","ndv","prop_dem_2020","prop_dem_2016","prop_dem_all","dist_2020_order","dist_2016_order","dist_all_order","dem_win_all"
"12496","2873",4,709381,167337,214123,138359,165459,150806,183678,0.561324909558014,0.544599069179575,0.549138374331807,4,4,4,1
"12497","2873",5,707808,144361,209687,124174,155796,132685,176515,0.592255852313811,0.556473907918706,0.570876455368693,5,5,5,1
"12498","2873",1,703040,59197,325671,58391,255293,59362,284317,0.846188823180935,0.813854069700718,0.82727486986403,6,6,6,1
"12499","2874",1,706175,201405,169288,160002,132554,177179,145879,0.456679786238208,0.453089323069771,0.451556686415442,1,1,1,0
"12500","2874",5,705048,203610,177021,164832,142389,180448,154725,0.465072471763992,0.463474176569961,0.46162727904694,2,2,2,0
"12501","2874",6,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"12502","2874",2,708094,130909,220825,117080,163317,123066,185570,0.627818180784343,0.582449170283562,0.601258440363405,4,4,4,1
"12503","2874",4,706295,141180,258999,122779,199357,131157,222633,0.647207874476172,0.618859736260461,0.629280081404223,5,5,5,1
"12504","2874",3,704102,99022,267566,82224,211146,89452,233818,0.729882047421083,0.719725943347991,0.723290128994339,6,6,6,1
"12505","2875",1,703122,215402,170458,171734,131605,189903,145688,0.441761260560825,0.433854532387856,0.434123680313238,1,1,1,0
"12506","2875",3,705253,170198,173436,141089,133883,152677,148867,0.504711408067886,0.486896847679036,0.493682513994641,2,2,2,0
"12507","2875",5,705364,174002,181893,143986,140810,156624,155991,0.511086134955535,0.494424078989873,0.498987572573293,4,3,3,0
"12508","2875",4,709573,189873,194389,152009,155782,167394,169856,0.505876199051689,0.506129159072228,0.503650111193477,3,4,4,1
"12509","2875",6,704230,134050,222015,117164,165321,124424,187133,0.623523794812745,0.585238154238278,0.600638085486765,5,5,5,1
"12510","2875",2,709714,63875,325904,61642,256151,63195,284876,0.836125086266833,0.806030969845151,0.818442214375803,6,6,6,1
"12511","2876",1,707445,223847,159313,178480,129703,196743,139818,0.415787138532206,0.420863577809289,0.415431377967144,1,1,1,0
"12512","2876",3,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,2,2,2,0
"12513","2876",2,705648,182025,187257,146996,145501,161619,161040,0.507084017092628,0.497444418233349,0.499102767937668,3,3,3,0
"12514","2876",6,708579,166219,210390,140657,159407,151708,178622,0.558643048891556,0.531243334755252,0.540738049828959,4,4,4,1
"12515","2876",5,703962,140273,213574,119729,160245,128458,180709,0.603577252315266,0.572356718838178,0.584502873851349,5,5,5,1
