draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,730890,588720,0.0044727065,0.9369,0.25311,56979,108410,13437, 670,363678,57912,1983,127821,38984, 94992,11075, 595,312940,40689,1534, 87911,132243,64110,151221,45991,130245,55494,120008,60971,178240, 96632,55048,141731,58226,125124, 96632,178240,1,1,142393,64639,0.6878,0.6906,1,2,0,-0.1179
cd_2020,2,724381,567185,0.0044727065,0.9369,0.05768,81944,205955, 8440,1651,167880,91142,3300,164069,54123,180632, 6984,1405,145328,64529,2690,111494,134653,64737,155388,46656,146070,56537,124925,70755,187888,100232,55684,145016,63638,135498,100232,187888,1,1,149784,67785,0.6884,0.6912,1,2,0,-0.1179
1,1,726887,568107,0.0010286744,0.9489,0.33159,73857,129262,14429, 780,279468,70706,2322,156063,48943,110135,11734, 673,239116,50563,1818,105125,121460,67906,143649,48358,124463,60390,110681,69844,165552,102647,58126,132552,65110,117571,102647,165552,1,1,133161,69828,0.6560,0.6586,1,2,0,-0.1179
1,2,728384,587798,0.0010286744,0.9489,0.07001,65066,185103, 7448,1541,252090,78348,2961,135827,44164,165489, 6325,1327,219152,54655,2406, 94280,145436,60941,162960,44289,151853,51642,134252,61883,200576, 94217,52606,154195,56754,143051, 94217,200576,1,1,159016,62596,0.7175,0.7204,1,2,0,-0.1179
2,1,728174,570633,0.0007400683,0.9609,0.39331,73976,133942,14179, 796,276438,69635,2395,156813,49116,114684,11509, 690,236971,49917,1876,105870,124466,69147,146567,49625,127346,61634,113314,71165,170523,103828,59381,135515,66393,120329,103828,170523,1,1,136444,71080,0.6575,0.6599,1,2,0,-0.1179
2,2,727097,585272,0.0007400683,0.9609,0.07203,64947,180423, 7698,1525,255120,79419,2888,135077,43991,160940, 6550,1310,221297,55301,2348, 93535,142430,59700,160041,43022,148970,50397,131619,60561,195606, 93036,51352,151232,55471,140293, 93036,195606,1,1,155733,61345,0.7174,0.7205,1,2,0,-0.1179
3,1,729366,582047,0.0023782512,0.9449,0.20659,67656,143058,15196, 914,288256,74302,2590,137394,46467,123800,12486, 801,249257,52861,2068, 94307,122692,61861,140301,45491,122871,54633,108697,63782,168064, 94048,53674,131494,59201,115783, 94048,168064,1,0,132526,63963,0.6745,0.6767,1,2,0,-0.1179
3,2,725905,573858,0.0023782512,0.9449,0.06681,71267,171307, 6681,1407,243302,74752,2693,154496,46640,151824, 5573,1199,209011,52357,2156,105098,144204,66985,166308,47156,153445,57399,136236,67945,198064,102816,57059,155254,62664,144839,102816,198064,1,0,159651,68461,0.6999,0.7030,1,2,0,-0.1179
4,1,729377,574294,0.0023933687,0.9569,0.37190,74216,137839,14391, 847,276855,68164,2470,154595,49668,118822,11804, 738,237881,49100,1936,104345,123703,69123,145301,49767,125925,61505,111920,70938,169475,104091,59440,134501,66215,118921,104091,169475,1,1,135265,71084,0.6555,0.6580,1,2,0,-0.1179
4,2,725894,581611,0.0023933687,0.9569,0.07171,64707,176526, 7486,1474,254703,80890,2813,137295,43439,156802, 6255,1262,220387,56118,2288, 95060,143193,59724,161308,42880,150391,50527,133013,60789,196653, 92773,51292,152246,55650,141701, 92773,196653,1,1,156912,61340,0.7189,0.7220,1,2,0,-0.1179
5,1,729366,582047,0.0023782512,0.9449,0.20659,67656,143058,15196, 914,288256,74302,2590,137394,46467,123800,12486, 801,249257,52861,2068, 94307,122692,61861,140301,45491,122871,54633,108697,63782,168064, 94048,53674,131494,59201,115783, 94048,168064,1,0,132526,63963,0.6745,0.6767,1,2,0,-0.1179
5,2,725905,573858,0.0023782512,0.9449,0.06681,71267,171307, 6681,1407,243302,74752,2693,154496,46640,151824, 5573,1199,209011,52357,2156,105098,144204,66985,166308,47156,153445,57399,136236,67945,198064,102816,57059,155254,62664,144839,102816,198064,1,0,159651,68461,0.6999,0.7030,1,2,0,-0.1179
6,1,726970,565198,0.0009146063,0.9696,0.44704,75623,131240,16226, 822,274240,71813,2295,154711,49907,110515,12976, 715,233940,51149,1797,104199,116905,67105,138854,47589,120161,59504,106545,68898,160496,102805,57341,127877,64193,113351,102805,160496,1,1,128592,69179,0.6502,0.6531,1,2,0,-0.1179
6,2,728301,590707,0.0009146063,0.9696,0.07307,63300,183125, 5651,1499,257318,77241,2988,137179,43200,165109, 5083,1285,224328,54069,2427, 95206,149991,61741,167755,45058,156155,52527,138388,62829,205632, 94059,53391,158870,57671,147270, 94059,205632,1,1,163585,63245,0.7212,0.7238,1,2,0,-0.1179
7,1,726615,578929,0.0014024879,0.9329,0.19392,62380,114733,12325, 847,318887,78843,2236,136364,42213,100636,10208, 734,274087,55635,1758, 93658,120697,61023,138402,44218,121002,53681,106975,62968,164918, 95204,52620,129548,58318,113987, 95204,164918,1,1,130399,63420,0.6728,0.6756,1,2,0,-0.1179
7,2,728656,576976,0.0014024879,0.9329,0.06604,76543,199632, 9552,1474,212671,70211,3047,155526,50894,174988, 7851,1266,184181,49583,2466,105747,146199,67823,168207,48429,155314,58351,137958,68758,201211,101660,58113,157200,63547,146634,101660,201211,1,1,161779,69004,0.7010,0.7036,1,2,0,-0.1179
8,1,724977,581742,0.0036536150,0.9545,0.28030,64442,140754,13289, 902,285983,75058,2502,142047,44167,122517,10894, 780,249112,53488,2000, 98784,127600,62592,145703,46143,127399,55182,113586,63803,172666, 91031,54364,136650,59487,120492, 91031,172666,1,0,137391,63751,0.6831,0.6847,1,2,0,-0.1179
8,2,730294,574163,0.0036536150,0.9545,0.06993,74481,173611, 8588,1419,245575,73996,2781,149843,48940,153107, 7165,1220,209156,51730,2224,100621,139296,66255,160906,46504,148917,56849,131347,67923,193462,105833,56368,150098,62378,140130,105833,193462,1,0,154786,68674,0.6927,0.6965,1,2,0,-0.1179
9,1,730483,568202,0.0039133605,0.9633,0.36635,75265,129776,16031, 816,281758,70262,2280,154295,49625,109270,12825, 709,239833,50218,1784,103938,116608,66871,138509,47413,119730,59286,106121,68692,159836,102457,57137,127556,63982,112924,102457,159836,1,1,128161,68942,0.6502,0.6532,1,2,0,-0.1179
9,2,724788,587703,0.0039133605,0.9633,0.07130,63658,184589, 5846,1505,249800,78792,3003,137595,43482,166354, 5234,1291,218435,55000,2440, 95467,150288,61976,168100,45234,156586,52745,138812,63035,206292, 94407,53596,159191,57883,147698, 94407,206292,1,1,164016,63482,0.7210,0.7236,1,2,0,-0.1179
10,1,726803,570102,0.0011441168,0.9569,0.36040,73677,134307,13948, 796,275365,69005,2454,157251,48960,115095,11373, 685,236305,49715,1942,106027,128914,70172,151258,50519,131598,62547,117163,72313,175836,104704,60342,140084,67423,124379,104704,175836,1,1,140954,72051,0.6617,0.6640,1,2,0,-0.1179
10,2,728468,585803,0.0011441168,0.9569,0.07120,65246,180058, 7929,1525,256193,80049,2829,134639,44147,160529, 6686,1315,221963,55503,2282, 93378,137982,58674,155351,42128,144718,49485,127770,59414,190292, 92160,50391,146663,54441,136243, 92160,190292,1,1,151224,60373,0.7147,0.7180,1,2,0,-0.1179
11,1,725374,569014,0.0031080122,0.9537,0.36550,73986,134087,14318, 792,274640,68888,2400,156263,49229,114882,11655, 690,235425,49656,1884,105593,122483,68331,144399,49011,125476,60985,111630,70442,167946,102697,58667,133439,65707,118552,102697,167946,1,1,134387,70293,0.6566,0.6590,1,2,0,-0.1179
11,2,729897,586891,0.0031080122,0.9537,0.07136,64937,180278, 7559,1529,256918,80166,2883,135627,43878,160742, 6404,1310,222843,55562,2340, 93812,144413,60515,162210,43636,150840,51046,133303,61285,198182, 94167,52066,153308,56157,142070, 94167,198182,1,1,157790,62131,0.7175,0.7206,1,2,0,-0.1179
12,1,730062,566215,0.0033347741,0.9688,0.36870,74608,120909,16167, 813,288750,77140,2196,149479,49238,101380,12941, 710,244980,54356,1720,100890,110187,62819,131275,43709,113748,55415,100101,65134,150844, 99566,53260,120729,60265,106923, 99566,150844,1,1,121231,65328,0.6498,0.6535,1,2,0,-0.1179
12,2,725209,589690,0.0033347741,0.9688,0.07152,64315,193456, 5710,1508,242808,71914,3087,142411,43869,174244, 5118,1290,213288,50862,2504, 98515,156709,66027,175334,48938,162568,56617,144833,66593,215284, 97298,57473,166018,61599,153699, 97298,215284,1,1,170946,67097,0.7181,0.7202,1,2,0,-0.1179
13,1,724985,563968,0.0036426205,0.9569,0.32565,74295,121004,16244, 832,289529,73045,2222,147814,49085,101661,13038, 719,246172,51670,1739, 99884,110886,63094,131817,43988,113909,55497,100530,64886,151607, 99647,53537,121351,60183,107218, 99647,151607,1,1,121750,65421,0.6505,0.6541,1,2,0,-0.1179
13,2,730286,591937,0.0036426205,0.9569,0.07042,64628,193361, 5633,1489,242029,76009,3061,144076,44022,173963, 5021,1281,212096,53548,2485, 99521,156010,65752,174792,48659,162407,56534,144404,66840,214521, 97217,57196,165397,61681,153404, 97217,214521,1,1,170427,67003,0.7178,0.7199,1,2,0,-0.1179
14,1,726089,576700,0.0021253773,0.9521,0.27266,69480,121786,14312, 816,302539,68246,2302,146608,46820,106301,11801, 715,260824,49058,1818, 99363,122651,65433,142525,47127,124555,57866,111011,66813,169146,100394,56276,132586,62333,117781,100394,169146,1,1,133977,67526,0.6649,0.6676,1,2,0,-0.1179
14,2,729182,579205,0.0021253773,0.9521,0.06885,69443,192579, 7565,1505,229019,80808,2981,145282,46287,169323, 6258,1285,197444,56160,2406,100042,144245,63413,164084,45521,151761,54166,133922,64913,196982, 96470,54456,154161,59531,142841, 96470,196982,1,1,158200,64898,0.7091,0.7118,1,2,0,-0.1179
15,1,727044,581437,0.0008129070,0.9473,0.23304,69170,139260,13084, 868,284110,71679,2531,146342,47243,122422,10930, 752,246218,51572,2028,100272,127040,65616,146472,47979,127521,58226,112798,67784,173099, 98674,56796,136754,62998,120158, 98674,173099,1,1,137386,67658,0.6700,0.6722,1,2,0,-0.1179
15,2,728227,574468,0.0008129070,0.9473,0.06780,69753,175105, 8793,1453,247448,77375,2752,145548,45864,153202, 7129,1248,212050,53646,2196, 99133,139856,63230,160137,44668,148795,53806,132135,63943,193029, 98190,53937,149993,58866,140464, 98190,193029,1,1,154791,64767,0.7050,0.7083,1,2,0,-0.1179
16,1,730241,568351,0.0035807764,0.9633,0.32048,73717,109277,16441, 846,303521,78980,2045,145414,48809, 91951,13214, 736,258121,55576,1585, 98359,109680,61750,130321,42632,112810,53829, 99446,63376,149430, 98404,52186,119999,58593,106126, 98404,149430,1,1,120337,63997,0.6528,0.6568,1,2,0,-0.1179
16,2,725030,587554,0.0035807764,0.9633,0.07030,65206,205088, 5436,1475,228037,70074,3238,146476,44298,183673, 4845,1264,200147,49642,2639,101046,157216,67096,176288,50015,163506,58202,145488,68350,216698, 98460,58547,166748,63271,154496, 98460,216698,1,1,171840,68427,0.7152,0.7171,1,2,0,-0.1179
17,1,724195,567811,0.0047283290,0.9473,0.37559,73983,133288,14306, 811,274738,69075,2389,155605,49192,114158,11656, 709,235524,49655,1868,105049,123463,68907,145363,49482,126211,61430,112271,70898,169427,103758,59189,134412,66157,119240,103758,169427,1,1,135348,70894,0.6563,0.6587,1,2,0,-0.1179
17,2,731076,588094,0.0047283290,0.9473,0.07167,64940,181077, 7571,1510,256820,79979,2894,136285,43915,161466, 6403,1291,222744,55563,2356, 94356,143433,59940,161245,43165,150105,50602,132662,60829,196701, 93106,51543,152336,55707,141382, 93106,196701,1,1,156830,61530,0.7182,0.7213,1,2,0,-0.1179
18,1,727780,571761,0.0001985884,0.9505,0.32560,73615,134667,14050, 797,277139,68896,2412,156204,48993,115711,11467, 685,238072,49591,1896,105346,126643,69323,148714,49868,129514,61888,115429,71365,173161,103533,59591,137677,66620,122471,103533,173161,1,1,138692,71195,0.6608,0.6631,1,2,0,-0.1179
18,2,727491,584144,0.0001985884,0.9505,0.07018,65308,179698, 7827,1524,254419,80158,2871,135686,44114,159913, 6592,1315,220196,55627,2328, 94059,140252,59524,157894,42779,146801,50144,129504,60361,192967, 93331,51141,149070,55245,138151, 93331,192967,1,1,153485,61230,0.7148,0.7181,1,2,0,-0.1179
19,1,727237,565096,0.0005476643,0.9649,0.42105,75579,130865,16156, 827,274727,72783,2299,154001,49905,110159,12913, 720,234347,51777,1795,103480,116652,67015,138527,47569,119862,59445,106279,68793,160250,102489,57286,127587,64111,113069,102489,160250,1,1,128314,69061,0.6501,0.6530,1,2,0,-0.1179
19,2,728034,590809,0.0005476643,0.9649,0.07255,63344,183500, 5721,1494,256831,76271,2984,137889,43202,165465, 5146,1280,223921,53441,2429, 95925,150244,61831,168082,45078,156454,52586,138655,62933,205878, 94375,53447,159160,57753,147553, 94375,205878,1,1,163863,63363,0.7211,0.7238,1,2,0,-0.1179
20,1,724777,561935,0.0039284779,0.9665,0.36920,74229,120553,16196, 818,287346,75633,2194,147808,48985,101074,12959, 712,243855,53042,1717, 99591,109743,62597,130694,43542,112899,55110, 99543,64561,149921, 99038,53065,120217,59827,106220, 99038,149921,1,1,120560,64968,0.6498,0.6535,1,2,0,-0.1179
20,2,730494,593970,0.0039284779,0.9665,0.07162,64694,193812, 5681,1503,244212,73421,3089,144082,44122,174550, 5100,1288,214413,52176,2507, 99814,157153,66250,175915,49105,163417,56921,145390,67166,216207, 97826,57668,166530,62037,154402, 97826,216207,1,1,171617,67456,0.7178,0.7199,1,2,0,-0.1179
21,1,729480,573307,0.0025349230,0.9345,0.18010,69575,108968,16349, 853,316905,77419,2083,137328,46508, 93194,13214, 751,270392,54428,1623, 93197,106932,59041,125673,41080,109068,51200, 96182,60148,147201, 95828,50056,116302,55665,102623, 95828,147201,1,1,117011,61459,0.6556,0.6599,1,2,0,-0.1179
21,2,725791,582598,0.0025349230,0.9345,0.06441,69348,205397, 5528,1468,214653,71635,3200,154562,46599,182430, 4845,1249,187876,50790,2601,106208,159964,69805,180935,51567,167248,60832,148752,71579,218928,101036,60676,170446,66199,157999,101036,218928,1,1,175166,70965,0.7117,0.7134,1,2,0,-0.1179
22,1,728186,579007,0.0007565601,0.9569,0.27714,69224,118180,13979, 794,305004,70404,2278,148323,46687,103861,11554, 690,262915,50567,1799,100934,124354,66137,144616,47559,125746,58303,112203,67276,169869,100872,56845,134484,62783,118973,100872,169869,1,1,135357,68030,0.6655,0.6682,1,2,0,-0.1179
22,2,727085,576898,0.0007565601,0.9569,0.06897,69699,196185, 7898,1527,226554,78650,3005,143567,46420,171763, 6505,1310,195353,54651,2425, 98471,142542,62709,161992,45088,150570,53729,132731,64451,196259, 95992,53888,152263,59081,141649, 95992,196259,1,1,156820,64394,0.7089,0.7117,1,2,0,-0.1179
23,1,730792,567213,0.0043380236,0.9665,0.39029,75378,130340,16059, 823,277598,74047,2280,154267,49729,109699,12834, 714,236496,52413,1781,103547,116559,66892,138497,47461,119739,59312,106133,68728,159905,102242,57171,127525,64013,112934,102242,159905,1,1,128166,68926,0.6503,0.6532,1,2,0,-0.1179
23,2,724479,588692,0.0043380236,0.9665,0.07194,63545,184025, 5818,1498,253960,75007,3003,137623,43378,165925, 5225,1286,221772,52805,2443, 95858,150337,61954,168112,45186,156577,52719,138800,62999,206223, 94622,53562,159222,57852,147688, 94622,206223,1,1,164011,63498,0.7209,0.7235,1,2,0,-0.1179
24,1,729217,575181,0.0021734783,0.9545,0.37283,73277,134614,13688, 821,279097,69459,2471,155790,49075,116921,11269, 705,240001,49912,1963,105335,127912,69949,149821,50446,129972,62218,115695,71732,174411,104626,60194,138866,66969,122832,104626,174411,1,1,139562,71794,0.6603,0.6626,1,2,0,-0.1179
24,2,726054,580724,0.0021734783,0.9545,0.07177,65646,179751, 8189,1500,252461,79595,2812,136100,44032,158703, 6790,1295,218267,55306,2261, 94070,138984,58897,156787,42201,146344,49814,129239,59995,191717, 92238,50538,147882,54896,137790, 92238,191717,1,1,152615,60630,0.7157,0.7189,1,2,0,-0.1179
25,1,726070,571587,0.0021514893,0.9441,0.32576,73057,133751,14607, 800,280552,68923,2456,151924,48917,114894,11935, 701,240759,49570,1939,102872,122364,67152,143355,48421,125255,60087,111416,69431,168550,101878,57783,132858,64752,118334,101878,168550,1,1,134189,69393,0.6591,0.6617,1,2,0,-0.1179
25,2,729201,584318,0.0021514893,0.9441,0.07031,65866,180614, 7270,1521,251006,80131,2827,139966,44190,160730, 6124,1299,217509,55648,2285, 96533,144532,61694,163254,44226,151061,51945,133517,62296,197579, 94986,52949,153889,57112,142288, 94986,197579,1,1,157988,63031,0.7148,0.7178,1,2,0,-0.1179
26,1,725684,580404,0.0026819747,0.9481,0.17572,64317,136409,12871, 839,294837,72053,2408,141950,43726,118993,10674, 729,255185,51303,1905, 97889,127930,63770,146496,46663,128368,56703,114257,65691,175545, 96356,55214,137211,61190,121311, 96356,175545,1,0,138520,65837,0.6778,0.6800,1,2,0,-0.1179
26,2,729587,575501,0.0026819747,0.9481,0.06704,74606,177956, 9006,1482,236721,77001,2875,149940,49381,156631, 7385,1271,203083,53915,2319,101516,138966,65076,160112,45984,147948,55329,130676,66036,190583,100508,55518,149536,60674,139311,100508,190583,1,0,153657,66587,0.6977,0.7010,1,2,0,-0.1179
27,1,730316,584629,0.0036838499,0.9601,0.23012,65820,142345,14026, 892,290943,73774,2536,139980,45105,123384,11456, 792,252522,52548,2032, 96790,127740,63124,146058,46319,127925,55912,113876,64768,174097, 94066,54719,136896,60333,120899, 94066,174097,1,0,137940,64838,0.6803,0.6822,1,2,0,-0.1179
27,2,724955,571276,0.0036838499,0.9601,0.06844,73103,172020, 7851,1429,240615,75280,2747,151910,48002,152240, 6603,1208,205746,52670,2192,102615,139156,65723,160551,46328,148391,56119,131057,66959,192032,102798,56013,149851,61531,139723,102798,192032,1,0,154238,67586,0.6953,0.6988,1,2,0,-0.1179
28,1,731223,567138,0.0049303532,0.9657,0.38852,74945,121414,16172, 818,287393,77583,2198,150700,49482,101823,12946, 715,243860,54846,1724,101742,110470,62998,131644,43829,114070,55572,100314,65393,151231, 99895,53409,121055,60474,107191, 99895,151231,1,1,121546,65537,0.6497,0.6534,1,2,0,-0.1179
28,2,724048,588767,0.0049303532,0.9657,0.07197,63978,192951, 5705,1503,244165,71471,3085,141190,43625,173801, 5113,1285,214408,50372,2500, 97663,156426,65849,174965,48818,162246,56459,144619,66334,214897, 96969,57323,165692,61391,153431, 96969,214897,1,1,170631,66888,0.7184,0.7204,1,2,0,-0.1179
29,1,726609,564902,0.0014107338,0.9601,0.33130,74280,122270,16327, 833,289361,73754,2205,147579,49164,102690,13101, 727,245832,51997,1735, 99656,108856,62206,129394,43432,112244,54929, 98975,64235,150196, 98774,52814,119124,59574,105609, 98774,150196,1,1,119933,64714,0.6495,0.6532,1,2,0,-0.1179
29,2,728662,591003,0.0014107338,0.9601,0.07059,64643,192095, 5550,1488,242197,75300,3078,144311,43943,172934, 4958,1273,212436,53221,2489, 99749,158040,66641,177215,49215,164072,57102,145958,67491,215932, 98090,57919,167623,62291,155013, 98090,215932,1,1,172244,67710,0.7178,0.7199,1,2,0,-0.1179
30,1,724456,569905,0.0043696329,0.9561,0.36064,72764,134051,14547, 806,279306,68811,2435,151736,48658,115119,11869, 704,239568,49401,1919,102667,123935,67706,145074,48841,126995,60590,113093,69913,170749,102492,58270,134503,65245,120043,102492,170749,1,1,135970,69908,0.6604,0.6629,1,2,0,-0.1179
30,2,730815,586000,0.0043696329,0.9561,0.07130,66159,180314, 7330,1515,252252,80243,2848,140154,44449,160505, 6190,1296,218700,55817,2305, 96738,142961,61140,161534,43806,149321,51442,131840,61814,195379, 94372,52463,152244,56620,140579, 94372,195379,1,1,156207,62516,0.7142,0.7172,1,2,0,-0.1179
31,1,730202,572235,0.0035271781,0.9641,0.39391,73984,134156,14217, 796,277334,69621,2392,157702,49077,114776,11559, 687,237794,50029,1889,106424,126417,69489,148721,49919,129398,62037,115323,71551,172886,103997,59699,137568,66787,122359,103997,172886,1,1,138549,71398,0.6599,0.6623,1,2,0,-0.1179
31,2,725069,583670,0.0035271781,0.9641,0.07203,64939,180209, 7660,1525,254224,79433,2891,134188,44030,160848, 6500,1313,220474,55189,2335, 92981,140479,59358,157887,42728,146918,49994,129610,60175,193242, 92867,51034,149179,55077,138263, 92867,193242,1,1,153628,61026,0.7157,0.7189,1,2,0,-0.1179
32,1,724677,565362,0.0040659094,0.9545,0.38649,74433,128655,15273, 832,277574,71905,2279,153726,49244,109195,12383, 726,236824,51323,1780,103887,117626,67198,139341,47767,121064,59756,107262,69208,162284,103581,57477,128482,64475,114163,103581,162284,1,1,129515,69501,0.6508,0.6538,1,2,0,-0.1179
32,2,730594,590543,0.0040659094,0.9545,0.07183,64490,185710, 6604,1489,253984,77149,3004,138164,43863,166429, 5676,1274,221444,53895,2444, 95518,149270,61648,167268,44880,155252,52276,137671,62518,203844, 93283,53256,158265,57390,146459, 93283,203844,1,1,162662,62923,0.7211,0.7236,1,2,0,-0.1179
33,1,729284,568704,0.0022655574,0.9561,0.29324,71346,106045,15934, 809,309908,78097,1974,145171,47099, 89760,12790, 696,263688,54894,1538, 98239,108239,61222,128578,42214,111461,53419, 98244,62860,148813, 98465,51713,118408,58131,104851, 98465,148813,1,1,119067,63635,0.6517,0.6558,1,2,0,-0.1179
33,2,725987,587201,0.0022655574,0.9561,0.06942,67577,208320, 5943,1512,221650,70957,3309,146719,46008,185864, 5269,1304,194580,50324,2686,101166,158657,67624,178030,50433,164855,58612,146689,68867,217315, 98399,59020,168340,63733,155771, 98399,217315,1,1,173111,68789,0.7156,0.7174,1,2,0,-0.1179
34,1,726384,567198,0.0017199546,0.9537,0.30032,72155,108292,16573, 826,307739,77957,2062,140780,48042, 91306,13355, 718,261800,54900,1602, 95475,107606,60016,127161,41668,110702,52479, 97499,61863,147859, 96802,50836,117382,57161,104100, 96802,147859,1,1,118166,62564,0.6538,0.6579,1,2,0,-0.1179
34,2,728887,588707,0.0017199546,0.9537,0.06971,66768,206073, 5304,1495,223819,71097,3221,151110,45065,184318, 4704,1282,196468,50318,2622,103930,159290,68831,179448,50980,165613,59552,147435,69864,218269,100062,59896,169365,64703,156522,100062,218269,1,1,174012,69860,0.7135,0.7153,1,2,0,-0.1179
35,1,731128,567943,0.0047997933,0.9673,0.36652,75421,130504,16120, 823,278297,73132,2287,154544,49768,109844,12897, 716,237028,51902,1788,104000,116500,66848,138381,47426,119656,59267,106108,68617,159826,102323,57131,127438,63934,112881,102323,159826,1,1,128094,68895,0.6503,0.6532,1,2,0,-0.1179
35,2,724143,587962,0.0047997933,0.9673,0.07124,63502,183861, 5757,1498,253261,75922,2996,137346,43339,165780, 5162,1284,221240,53316,2436, 95405,150396,61999,168228,45221,156660,52765,138826,63110,206302, 94541,53601,159309,57930,147741, 94541,206302,1,1,164083,63529,0.7209,0.7235,1,2,0,-0.1179
36,1,726252,570442,0.0019013641,0.9601,0.37535,72955,129779,13596, 776,279583,69709,2339,157515,48559,111733,11113, 667,239871,50085,1851,106563,127557,69810,149971,50133,130483,62268,116355,71798,174150,104240,59967,138763,67027,123418,104240,174150,1,1,139703,71651,0.6610,0.6633,1,2,0,-0.1179
36,2,729019,585463,0.0019013641,0.9601,0.07163,65968,184586, 8281,1545,251975,79345,2944,134375,44548,163891, 6946,1333,218397,55133,2373, 92842,139338,59036,156638,42514,145833,49763,128579,59929,191978, 92624,50765,147984,54838,137204, 92624,191978,1,1,152474,60774,0.7150,0.7182,1,2,0,-0.1179
37,1,725347,583148,0.0031451187,0.9465,0.24154,62915,141317,12241, 899,288537,75625,2447,141366,43197,123048,10195, 788,251487,53850,1951, 98632,129383,63945,148011,46930,129903,57007,115711,65937,176368, 94913,55435,138694,61466,122807, 94913,176368,1,0,139876,65747,0.6803,0.6821,1,2,0,-0.1179
37,2,729924,572757,0.0031451187,0.9465,0.06821,76008,173048, 9636,1422,243021,73429,2836,150524,49910,152576, 7864,1212,206781,51368,2273,100773,137513,64901,158598,45717,146413,55024,129223,65789,189760,101951,55298,148053,60398,137815,101951,189760,1,0,152301,66678,0.6955,0.6991,1,2,0,-0.1179
38,1,726180,570698,0.0020003147,0.9569,0.37720,73250,129734,13715, 781,278915,70280,2340,157165,48826,111865,11211, 675,239259,50527,1849,106486,124612,68944,146778,49420,127523,61417,113431,71019,170479,103435,59178,135694,66212,120476,103435,170479,1,1,136565,70848,0.6584,0.6608,1,2,0,-0.1179
38,2,729091,585207,0.0020003147,0.9569,0.07174,65673,184631, 8162,1540,252643,78774,2943,134725,44281,163759, 6848,1325,219009,54691,2375, 92919,142284,59902,159831,43227,148793,50614,131502,60707,195650, 93429,51554,151054,55652,140146, 93429,195650,1,1,155612,61576,0.7165,0.7196,1,2,0,-0.1179
39,1,727352,583900,0.0003896182,0.9489,0.23216,63656,141904,13551, 863,292235,73094,2471,139578,43632,123151,10980, 768,254401,51951,1979, 97038,128542,62865,146798,46217,128931,56067,115220,64519,175458, 93144,54539,137669,60286,122074, 93144,175458,1,1,138991,64562,0.6828,0.6847,1,2,0,-0.1179
39,2,727919,572005,0.0003896182,0.9489,0.06732,75267,172461, 8326,1458,239323,75960,2812,152312,49475,152473, 7079,1232,203867,53267,2245,102367,138354,65981,159810,46430,147385,55964,129714,67208,190670,103720,56194,149079,61578,138547,103720,190670,1,1,153186,67862,0.6930,0.6966,1,2,0,-0.1179
40,1,727795,566625,0.0002192032,0.9617,0.29442,69726,107235,15784, 773,312250,76858,1986,143183,45942, 90598,12639, 669,264989,53940,1532, 96316,110954,62534,131202,43781,113410,54589,100377,63775,151707, 99209,53152,121076,59174,106892, 99209,151707,1,1,121530,64776,0.6523,0.6561,1,2,0,-0.1179
40,2,727476,589280,0.0002192032,0.9617,0.06930,69197,207130, 6093,1548,219308,72196,3297,148707,47165,185026, 5420,1331,193279,51278,2692,103089,155942,66313,175406,48866,162906,57443,144557,67951,214421, 97655,57581,165671,62690,153730, 97655,214421,1,1,170647,67648,0.7161,0.7181,1,2,0,-0.1179
41,1,729024,567365,0.0019082356,0.9657,0.35776,75539,130510,15999, 813,279093,69770,2283,155017,49838,109955,12767, 706,238106,50031,1783,104179,117520,67342,139659,47778,120685,59689,107075,69092,161275,102791,57555,128588,64383,113879,102791,161275,1,1,129242,69337,0.6508,0.6537,1,2,0,-0.1179
41,2,726247,588540,0.0019082356,0.9657,0.07095,63384,183855, 5878,1508,252465,79284,3000,136873,43269,165669, 5292,1294,220162,55187,2441, 95226,149376,61504,166950,44869,155630,52343,137858,62635,204853, 94073,53177,158160,57482,146743, 94073,204853,1,1,162935,63087,0.7209,0.7235,1,2,0,-0.1179
42,1,727050,564829,0.0008046611,0.9704,0.42669,75169,129856,16048, 819,276030,72656,2280,154192,49584,109353,12845, 712,235168,51605,1781,103781,116142,66672,137973,47306,119300,59119,105758,68470,159353,102051,56983,127055,63787,112527,102051,159353,1,1,127705,68722,0.6501,0.6530,1,2,0,-0.1179
42,2,728221,591076,0.0008046611,0.9704,0.07273,63754,184509, 5829,1502,255528,76398,3003,137698,43523,166271, 5214,1288,223100,53613,2443, 95624,150754,62175,168635,45341,157016,52913,139176,63257,206775, 94813,53749,159692,58077,148094, 94813,206775,1,1,164472,63702,0.7208,0.7234,1,2,0,-0.1179
