draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
4641,1,724920,561771,0.0037319510,0.9553,0.30953,74621,120615,15996, 810,284666,76554,2188,149470,49209,101051,12774, 707,241582,54127,1714,100607,108231,62126,129148,43295,111918,54852, 98419,64509,148582, 98056,52707,118687,59672,105167, 98056,148582,1,1,119259,64567,0.6488,0.6524,1,2,0,-0.1179
4641,2,730351,594134,0.0037319510,0.9553,0.06971,64302,193750, 5881,1511,246892,72500,3095,142420,43898,174573, 5285,1293,216686,51091,2510, 98798,158665,66720,177461,49352,164398,57180,146515,67217,217546, 98808,58026,168061,62193,155455, 98808,217546,1,1,172918,67857,0.7182,0.7203,1,2,0,-0.1179
4642,1,725905,581775,0.0023782512,0.9473,0.22219,65827,145740,14465, 903,285725,73266,2527,137452,45450,126331,11875, 804,248108,52187,2018, 95002,124918,61359,142617,45103,124874,54267,111099,62942,169964, 91306,53228,133764,58598,117985, 91306,169964,1,0,134695,62995,0.6813,0.6833,1,2,0,-0.1179
4642,2,729366,574130,0.0023782512,0.9473,0.06754,73096,168625, 7412,1418,245833,75788,2756,154438,47657,149293, 6184,1196,210160,53031,2206,104403,141978,67487,163991,47544,151442,57765,133834,68785,196164,105558,57504,152983,63267,142637,105558,196164,1,0,157482,69429,0.6940,0.6975,1,2,0,-0.1179
4643,1,724573,568341,0.0042088381,0.9641,0.36987,73488,132940,13964, 792,276218,68372,2408,156391,48827,113808,11381, 683,237120,49224,1903,105395,127057,69396,149254,49913,130094,61966,115902,71538,173772,103766,59650,138154,66746,122997,103766,173772,1,1,139215,71316,0.6613,0.6636,1,2,0,-0.1179
4643,2,730698,587564,0.0042088381,0.9641,0.07152,65435,181425, 7913,1529,255340,80682,2875,135499,44280,161816, 6678,1317,221148,55994,2321, 94010,139839,59450,157354,42734,146221,50065,129031,60188,192357, 93098,51082,148593,55119,137625, 93098,192357,1,1,152962,61108,0.7145,0.7178,1,2,0,-0.1179
4644,1,724483,577143,0.0043325264,0.9193,0.20421,70842,116164,15069, 865,306613,72125,2318,140487,48228,101731,12568, 762,264054,51639,1840, 96321,114703,61452,133402,43658,116853,54014,103334,63132,158862, 97650,52553,124052,58565,110092, 97650,158862,1,1,125431,63982,0.6622,0.6657,1,2,0,-0.1179
4644,2,730788,578762,0.0043325264,0.9193,0.06593,68081,198201, 6808,1456,224945,76929,2965,151403,44879,173893, 5491,1238,194214,53579,2384,103084,152193,67394,173207,48989,159463,58017,141599,68595,207267, 99214,58180,162695,63299,150530, 99214,207267,1,1,166746,68442,0.7090,0.7112,1,2,0,-0.1179
4645,1,728012,565445,0.0005174294,0.9673,0.39489,75336,130584,16064, 822,276097,72608,2272,154229,49719,109917,12826, 713,235333,51622,1777,103538,116105,66785,138020,47403,119386,59246,105861,68597,159471,101893,57088,127060,63914,112622,101893,159471,1,1,127768,68784,0.6500,0.6529,1,2,0,-0.1179
4645,2,727259,590460,0.0005174294,0.9673,0.07201,63587,183781, 5813,1499,255461,76446,3011,137661,43388,165707, 5233,1287,222935,53596,2447, 95867,150791,62061,168589,45244,156929,52786,139072,63129,206657, 94971,53644,159687,57950,148000, 94971,206657,1,1,164409,63640,0.7209,0.7236,1,2,0,-0.1179
4646,1,728774,565360,0.0015646570,0.9633,0.36445,73534,115031,16193, 816,295776,77262,2089,148073,48546, 96735,12957, 707,251049,54264,1619, 99483,111426,63857,132442,44735,114134,55964,100887,65330,151713, 99802,54290,121932,60640,107509, 99802,151713,1,1,122120,65936,0.6494,0.6529,1,2,0,-0.1179
4646,2,726497,590545,0.0015646570,0.9633,0.07131,65389,199334, 5684,1505,235782,71792,3194,143817,44561,178889, 5102,1293,207219,50954,2605, 99922,155470,64989,174167,47912,162182,56067,144046,66397,214416, 97062,56443,164815,61225,153113, 97062,214416,1,1,170057,66488,0.7189,0.7211,1,2,0,-0.1179
4647,1,724215,570894,0.0047008427,0.9601,0.37647,73106,134138,13711, 817,276073,68818,2422,155130,48981,116346,11278, 708,237123,49565,1913,104980,124188,68934,146065,49562,127041,61412,112912,70972,170309,103398,59244,135126,66186,119975,103398,170309,1,1,136103,70856,0.6576,0.6600,1,2,0,-0.1179
4647,2,731056,585011,0.0047008427,0.9601,0.07186,65817,180227, 8166,1504,255485,80236,2861,136760,44126,159278, 6781,1292,221145,55653,2311, 94425,142708,59912,160543,43085,149275,50619,132022,60755,195819, 93466,51488,151622,55678,140647, 93466,195819,1,1,156074,61568,0.7171,0.7202,1,2,0,-0.1179
