draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
1451,2,548464,449516,0.0004109793,0.9273,0.3124, 50763,439148,15871,2019,15857,160,2887,21759, 35066,371820,12371,1569,12635,134,2107,13814,134803,107770,127922,88966,109558,85017,155164,137854,73570,171276,117873,184235, 99780,107770,134803,82517,132624,108827,177755,1,3,145830, 95497,0.6043,0.6003,1.0000,2.000,0,-0.25606
1452,1,546276,434094,0.0043986626,0.9654,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
1452,2,551103,453500,0.0043986626,0.9654,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
1453,1,548163,440165,0.0009595591,0.9264,0.2526,113283,333555,38835,1473,21125,168,8531,31193, 78602,285582,29165,1136,17983,130,6414,21153,119188, 77057,106193,59172, 91070,57778,122764,112624,48811,139929, 86782,148394, 69667, 77057,119188,55254,108162, 78226,144162,2,3,120023, 66544,0.6433,0.6428,1.0000,2.000,0,-0.25606
1453,2,549216,447429,0.0009595591,0.9264,0.2453, 68818,420495,16551,2040,17242,152,2861,21057, 47386,356853,12759,1563,13429,125,2039,13275,133337,103485,125284,85249,107052,82155,151586,134652,70482,167556,113140,180180, 95188,103485,133337,79294,129643,104164,173867,2,3,142807, 91617,0.6092,0.6053,1.0000,2.000,0,-0.25606
1454,1,545966,449359,0.0049636452,0.9619,0.3614, 40573,449963,12728,1886,16425,152,2718,21521, 27798,381291,10169,1469,12900,127,1998,13607,134161,111869,128572,92537,108961,89572,157555,138961,76636,172263,121674,186014,103047,111869,134161,86248,133512,112361,179138,1,2,146642, 99223,0.5964,0.5916,1.0000,2.000,0,-0.25606
1454,2,551413,438235,0.0049636452,0.9619,0.4244,141528,304087,42658,1627,21942,168,8674,30729, 98190,261144,31755,1230,18512,128,6455,20821,118364, 68672,102905,51883, 89161,50361,116795,108315,42657,135222, 78248,142559, 61808, 68672,118364,48301,104294, 70029,138891,1,2,116189, 58938,0.6635,0.6642,1.0000,2.000,0,-0.25606
1455,1,547782,434610,0.0016539409,0.9584,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
1455,2,549597,452984,0.0016539409,0.9584,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
1456,1,548292,439345,0.0007244534,0.9212,0.3268,100923,366067,29509,1335,17316,130,6125,26887, 69000,311247,21779, 994,14052,100,4479,17694,113516, 94960,103502,73444, 85775,72060,126326,112261,60559,137548,105778,150169, 85774, 94960,113516,68687,106966, 95777,143858,2,3,118443, 82096,0.5906,0.5874,1.0000,2.000,0,-0.25606
