draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,548026,440765,0.0012092449,0.9281,0.2580,101822,350105,34366,1495,20127,181,8493,31437, 70326,299092,25817,1149,16812,139,6380,21050,129153, 75105,114699,58666,102110,53959,131174,120830,48256,152910, 83184,160166, 67157, 75105,129153,53628,117202, 75172,156538,1,1,130149, 64387,0.6690,0.6692,1.0000,2.000,0,-0.25606
cd_2020,2,549353,446829,0.0012092449,0.9281,0.3025, 80279,403945,21020,2018,18240,139,2899,20813, 55662,343343,16107,1550,14600,116,2073,13378,123372,105437,116779,85754, 96012,85974,143177,126446,71036,154576,116737,168408, 97698,105437,123372,80921,120603,107218,161491,1,1,132682, 93774,0.5859,0.5810,1.0000,2.000,0,-0.25606
1,1,551104,436626,0.0044004852,0.9455,0.4708,143281,306276,40778,1533,23239,158,7563,28276, 99338,261856,30209,1142,19419,119,5542,19001,116003, 74447,101109,57160, 86081,57396,117439,106865,47543,132532, 84586,141051, 67257, 74447,116003,54033,102873, 75923,136792,2,3,114440, 64732,0.6387,0.6379,1.0000,2.000,0,-0.25606
1,2,546275,450968,0.0044004852,0.9455,0.2974, 38820,447774,14608,1980,15128,162,3829,23974, 26650,380579,11715,1557,11993,136,2911,15427,136522,106094,130369,87260,112041,82537,156911,140411,71750,174954,115336,187522, 97598,106094,136522,80515,134933,106467,181237,2,3,148390, 93429,0.6136,0.6100,1.0000,2.000,0,-0.25606
2,1,550042,437604,0.0024649642,0.9489,0.4079,141534,305872,40510,1618,24828,158,7568,27954, 98162,262684,30407,1236,20603,122,5588,18802,117535, 72987,102856,56085, 87068,57538,118914,108546,46499,134287, 82768,142951, 65578, 72987,117535,53374,104346, 74174,138619,2,4,116023, 63576,0.6460,0.6451,1.0000,2.000,0,-0.25606
2,2,547337,449990,0.0024649642,0.9489,0.2832, 40567,448178,14876,1895,13539,162,3824,24296, 27826,379751,11517,1463,10809,133,2865,15626,134990,107555,128621,88336,111054,82395,155436,138730,72794,173198,117154,185623, 99277,107555,134990,81174,133460,108216,179410,2,4,146808, 94585,0.6082,0.6046,1.0000,2.000,0,-0.25606
3,1,550911,441507,0.0040487379,0.9100,0.2130,103759,374819,25138,1983,20766,140,3466,20840, 71418,316970,18959,1503,16732,110,2508,13307,115558, 99826,106866,78685, 88387,78792,130409,115052,65820,140024,112676,152998, 92474, 99826,115558,74432,110177,102576,146511,3,2,121328, 88046,0.5795,0.5758,1.0000,2.000,0,-0.25606
3,2,546468,446087,0.0040487379,0.9100,0.3100, 78342,379231,30248,1530,17601,180,7926,31410, 54570,325465,22965,1196,14680,145,5945,21121,136967, 80716,124612,65735,109735,61140,143941,132224,53473,167461, 87246,175576, 72381, 80716,136967,60117,127628, 79814,171518,3,2,141503, 70115,0.6687,0.6673,1.0000,2.000,0,-0.25606
4,1,547782,434610,0.0016539409,0.9584,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
4,2,549597,452984,0.0016539409,0.9584,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
5,1,550458,437262,0.0032231344,0.9610,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
5,2,546921,450332,0.0032231344,0.9610,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
6,1,546839,438921,0.0033725814,0.9307,0.2432,131574,311874,41927,1655,23504,151,7460,28694, 92334,269240,31666,1294,19292,121,5548,19426,128856, 69926,113985,54639, 97001,56477,129000,119564,44942,149147, 77884,157568, 61632, 69926,128856,52019,114887, 69759,153357,4,2,127874, 60916,0.6773,0.6765,1.0000,2.000,0,-0.25606
6,2,550540,448673,0.0033725814,0.9307,0.2503, 50527,442176,13459,1858,14863,169,3932,23556, 33654,373195,10258,1405,12120,134,2905,15002,123669,110615,117492,89782,101120,83456,145351,127712,74351,158339,122038,171006,103223,110615,123669,82530,122919,112631,164672,4,2,134956, 97244,0.5812,0.5772,1.0000,2.000,0,-0.25606
7,1,549146,441128,0.0008319824,0.9203,0.2433, 92629,383936,25329,1935,17029,137,4644,23507, 63331,324737,18920,1455,13994,102,3391,15198,114334, 98423,105580,77178, 89462,73898,129035,114213,64069,141177,109940,153083, 90871, 98423,114334,71715,109573,100407,147130,3,2,120984, 85730,0.5853,0.5822,1.0000,2.000,0,-0.25606
7,2,548233,446466,0.0008319824,0.9203,0.3388, 89472,370114,30057,1578,21338,183,6748,28743, 62657,317698,23004,1244,17418,153,5062,19230,138191, 82119,125897,67243,108660,66035,145315,133063,55223,166308, 89982,175491, 73984, 82119,138191,62834,128233, 81983,170899,3,2,141847, 72431,0.6620,0.6600,1.0000,2.000,0,-0.25606
8,1,549955,452728,0.0023064046,0.9602,0.3528, 40876,452742,13030,1896,16609,155,2819,21828, 28000,383700,10429,1479,13058,129,2088,13845,135166,112303,129513,92896,109797,89920,158599,139952,76912,173599,122309,187441,103538,112303,135166,86575,134465,112924,180519,1,2,147724, 99647,0.5972,0.5924,1.0000,2.000,0,-0.25606
8,2,547424,434866,0.0023064046,0.9602,0.4008,141225,301308,42356,1617,21758,165,8573,30422, 97988,258735,31495,1220,18354,126,6365,20583,117359, 68238,101964,51524, 88325,50013,115751,107324,42381,133886, 77613,141132, 61317, 68238,117359,47973,103341, 69466,137510,1,2,115106, 58514,0.6630,0.6637,1.0000,2.000,0,-0.25606
9,1,550301,443054,0.0029369981,0.9273,0.2776,123556,326018,38163,1616,22547,152,7988,30261, 86835,280721,29095,1275,18490,124,5914,20600,131737, 70521,117024,56511,100519,56987,132292,122912,46393,154336, 78388,161957, 63453, 70521,131737,53297,118186, 70921,158146,3,1,131540, 62042,0.6795,0.6786,1.0000,2.000,0,-0.25606
9,2,547078,444540,0.0029369981,0.9273,0.2234, 58545,428032,17223,1897,15820,168,3404,21989, 39153,361714,12829,1424,12922,131,2539,13828,120788,110021,114454,87910, 97603,82946,142059,124364,72900,153150,121534,166617,101402,110021,120788,81252,119620,111468,159883,3,1,131291, 96119,0.5773,0.5732,1.0000,2.000,0,-0.25606
10,1,548803,436073,0.0002068565,0.9593,0.4166,147673,291241,44536,1683,23860,167,8786,30857,102638,251210,33302,1292,20021,129,6531,20950,120175, 63514,104076,47772, 90410,46926,116568,108889,39250,136432, 72148,143262, 56297, 63514,120175,44650,104985, 64223,139847,1,3,117116, 54317,0.6832,0.6842,1.0000,2.000,0,-0.25606
10,2,548576,451521,0.0002068565,0.9593,0.3151, 34428,462809,10850,1830,14507,153,2606,21393, 23350,391225, 8622,1407,11391,126,1922,13478,132350,117028,127401,96648,107712,93007,157782,138387,80043,171054,127774,185312,108558,117028,132350,89899,132821,118166,178182,1,3,145715,103844,0.5839,0.5788,1.0000,2.000,0,-0.25606
11,1,549108,451972,0.0007627265,0.9636,0.3659, 40768,452476,12853,1893,16493,152,2765,21708, 27912,383469,10270,1474,12959,127,2029,13732,134971,112470,129409,92947,109680,89934,158502,139853,76952,173320,122301,187151,103550,112470,134971,86610,134361,112925,180235,1,2,147556, 99693,0.5968,0.5920,1.0000,2.000,0,-0.25606
11,2,548271,435622,0.0007627265,0.9636,0.4341,141333,301574,42533,1620,21874,168,8627,30542, 98076,258966,31654,1225,18453,128,6424,20696,117555, 68072,102068,51473, 88442,49999,115849,107423,42341,134165, 77621,141423, 61305, 68072,117555,47938,103445, 69464,137795,1,2,115275, 58468,0.6635,0.6642,1.0000,2.000,0,-0.25606
12,1,546978,442298,0.0031192505,0.9264,0.2554, 81065,396759,23910,1914,18035,138,3711,21446, 55385,336297,17866,1437,14772, 98,2734,13709,118386,104588,110823,83339, 93347,80833,137009,120263,69030,147309,115987,160312, 96157,104588,118386,77734,115360,106073,153811,2,2,126779, 91656,0.5804,0.5763,1.0000,2.000,0,-0.25606
12,2,550401,445296,0.0031192505,0.9264,0.3042,101036,357291,31476,1599,20332,182,7681,30804, 70603,306138,24058,1262,16640,157,5719,20719,134139, 75954,120655,61082,104775,59099,137342,127013,50263,160176, 83935,168261, 68698, 75954,134139,56815,122446, 76317,164218,2,2,136052, 66504,0.6717,0.6707,1.0000,2.000,0,-0.25606
13,1,547463,448077,0.0022353262,0.9498,0.3365, 52952,437897,14077,1943,16669,149,2740,21036, 36387,370813,10991,1492,12999,122,2002,13271,133239,109260,126520,90224,107662,86997,154664,136535,74708,169213,119339,182491,100888,109260,133239,83976,131345,110114,175851,1,3,144332, 96903,0.5983,0.5938,1.0000,2.000,0,-0.25606
13,2,549916,439517,0.0022353262,0.9498,0.3979,129149,316153,41309,1570,21698,171,8652,31214, 89601,271622,30933,1207,18413,133,6451,21157,119287, 71282,104958,54196, 90460,52936,119687,110741,44585,138273, 80583,146083, 63967, 71282,119287,50573,106461, 72276,142178,1,3,118498, 61258,0.6592,0.6594,1.0000,2.000,0,-0.25606
14,1,547038,437059,0.0030098990,0.9403,0.3094,130036,309924,41976,1609,23784,170,8669,30870, 90642,266112,31663,1239,19882,134,6510,20877,120957, 68889,106352,53275, 90990,53425,120779,111891,43900,139619, 77996,146670, 62298, 68889,120957,50200,107503, 70148,143145,1,3,119608, 59963,0.6661,0.6659,1.0000,2.000,0,-0.25606
14,2,550341,450535,0.0030098990,0.9403,0.3223, 52065,444126,13410,1904,14583,150,2723,21380, 35346,376323,10261,1460,11530,121,1943,13551,131569,111653,125125,91146,107132,86508,153572,135385,75393,167866,121926,181904,102556,111653,131569,84349,130303,112242,174884,1,3,143222, 98198,0.5932,0.5890,1.0000,2.000,0,-0.25606
15,1,549380,436811,0.0012584531,0.9593,0.4180,140109,303738,42536,1621,21883,167,8652,30674, 97227,260852,31676,1224,18468,127,6442,20795,118026, 68581,102672,51828, 88955,50300,116558,108084,42606,134929, 78101,142243, 61720, 68581,118026,48245,104067, 69912,138587,1,2,115924, 58856,0.6633,0.6640,1.0000,2.000,0,-0.25606
15,2,547999,450783,0.0012584531,0.9593,0.3590, 41992,450312,12850,1892,16484,153,2740,21576, 28761,381583,10248,1475,12944,128,2011,13633,134499,111961,128806,92592,109167,89633,157792,139192,76687,172556,121821,186331,103135,111961,134499,86304,133739,112478,179443,1,2,146907, 99305,0.5967,0.5919,1.0000,2.000,0,-0.25606
16,1,547544,437995,0.0020877017,0.9411,0.3250,114455,334593,36369,1358,21353,152,8407,30857, 78982,285866,27136,1029,17861,113,6271,20737,119166, 77857,106218,59860, 91113,58848,123874,112807,49299,140709, 86852,149551, 69382, 77857,119166,56003,108503, 78118,145131,2,2,120491, 67016,0.6426,0.6415,1.0000,2.000,0,-0.25606
16,2,549835,449599,0.0020877017,0.9411,0.3080, 67646,419457,19017,2155,17014,168,2985,21393, 47006,356569,14788,1670,13551,142,2182,13691,133359,102685,125259,84561,107010,81085,150476,134469,69994,166776,113070,179023, 95473,102685,133359,78546,129303,104271,172898,2,2,142339, 91145,0.6096,0.6061,1.0000,2.000,0,-0.25606
17,1,546648,445144,0.0037206836,0.9074,0.2432, 84720,397555,20526,2134,17563,161,3035,20954, 58749,339348,15829,1638,13901,131,2146,13402,128273, 98162,119895,79749,101974,77682,144080,128265,66096,159946,107791,172290, 89682, 98162,128273,74509,123553, 98736,166117,3,3,136389, 86527,0.6118,0.6083,1.0000,2.000,0,-0.25606
17,2,550731,442450,0.0037206836,0.9074,0.2605, 97381,356495,34860,1379,20804,159,8357,31296, 67239,303087,26095,1061,17511,124,6307,21026,124253, 82380,111583,64671, 96148,62251,130271,119011,53197,147540, 92131,156284, 75173, 82380,124253,60040,114253, 83654,151912,3,3,126441, 71634,0.6383,0.6372,1.0000,2.000,0,-0.25606
18,1,548251,437411,0.0007991769,0.9472,0.3602,132749,309506,41957,1580,22723,171,8677,30888, 92287,265774,31434,1210,19150,131,6493,20932,119851, 69133,104972,52546, 90745,51328,118961,110451,43235,137765, 78464,145060, 62272, 69133,119851,49037,106282, 70369,141413,1,3,118258, 59496,0.6653,0.6658,1.0000,2.000,0,-0.25606
18,2,549128,450183,0.0007991769,0.9472,0.3330, 49352,444544,13429,1933,15644,149,2715,21362, 33701,376661,10490,1489,12262,124,1960,13496,132674,111409,126505,91875,107377,88605,155389,136825,76058,169720,121458,183514,102583,111409,132674,85512,131524,112020,176616,1,3,144572, 98665,0.5944,0.5896,1.0000,2.000,0,-0.25606
19,1,550332,448432,0.0029934963,0.9359,0.3353, 73517,416408,17353,2066,17135,159,2869,20825, 50537,354032,13339,1583,13503,131,2042,13265,127621,107456,120515,87675,101177,85912,147777,130039,72828,160362,117902,174179, 98680,107456,127621,82138,124877,108291,167270,3,2,137382, 95076,0.5910,0.5864,1.0000,2.000,0,-0.25606
19,2,547047,439162,0.0029934963,0.9359,0.2453,108584,337642,38033,1447,21232,161,8523,31425, 75451,288403,28585,1116,17909,124,6411,21163,124905, 73086,110962,56745, 96945,54021,126573,117237,46465,147124, 82020,154395, 66175, 73086,124905,52411,112929, 74099,150759,3,2,125448, 63085,0.6654,0.6655,1.0000,2.000,0,-0.25606
20,1,547986,435201,0.0012821459,0.9584,0.4146,148740,289293,44592,1689,23878,167,8794,30833,103381,249558,33331,1298,20035,129,6538,20931,119915, 62989,103752,47339, 90136,46546,116060,108495,38903,135962, 71632,142753, 55815, 62989,119915,44263,104610, 63724,139358,1,2,116724, 53870,0.6842,0.6853,1.0000,2.000,0,-0.25606
20,2,549393,452393,0.0012821459,0.9584,0.3010, 33361,464757,10794,1824,14489,153,2598,21417, 22607,392877, 8593,1401,11377,126,1915,13497,132611,117552,127726,97081,107986,93387,158290,138781,80390,171524,128290,185820,109040,117552,132611,90286,133196,118666,178671,1,2,146106,104291,0.5835,0.5783,1.0000,2.000,0,-0.25606
21,1,548708,443476,0.0000337167,0.9022,0.2082,120693,333934,38614,1810,19690,174,6490,27303, 84553,288488,29210,1404,16492,138,4840,18351,133679, 69914,118867,55326,105243,51975,133373,124439,45281,157098, 77282,164381, 62361, 69914,133679,50861,120480, 69822,160740,3,4,133868, 60356,0.6892,0.6895,1.0000,2.000,0,-0.25606
21,2,548671,444118,0.0000337167,0.9022,0.1896, 61408,420116,16772,1703,18677,146,4902,24947, 41435,353947,12714,1295,14920,117,3613,16077,118846,110628,112610,89094, 92879,87958,140977,122837,74012,150388,122640,164193,102494,110628,118846,83688,117326,112568,157290,3,4,128962, 97805,0.5687,0.5634,1.0000,2.000,0,-0.25606
22,1,550313,440187,0.0029588684,0.9377,0.3236,148895,292208,44174,1781,24304,165,8507,30279,104344,253678,33338,1392,20340,136,6297,20662,121928, 65855,106550,50684, 89504,53611,120443,111574,41925,139075, 74335,147265, 57973, 65855,121928,48740,107017, 66155,143170,2,2,119477, 57397,0.6755,0.6747,1.0000,2.000,0,-0.25606
22,2,547066,447407,0.0029588684,0.9377,0.2347, 33206,461842,11212,1732,14063,155,2885,21971, 21644,388757, 8586,1307,11072,119,2156,13766,130598,114687,124927,93736,108618,86322,153907,135702,77367,168410,125587,181309,106882,114687,130598,85808,130789,116235,174859,2,2,143353,100764,0.5872,0.5833,1.0000,2.000,0,-0.25606
23,1,548271,435622,0.0007627265,0.9636,0.4341,141333,301574,42533,1620,21874,168,8627,30542, 98076,258966,31654,1225,18453,128,6424,20696,117555, 68072,102068,51473, 88442,49999,115849,107423,42341,134165, 77621,141423, 61305, 68072,117555,47938,103445, 69464,137795,1,2,115275, 58468,0.6635,0.6642,1.0000,2.000,0,-0.25606
23,2,549108,451972,0.0007627265,0.9636,0.3659, 40768,452476,12853,1893,16493,152,2765,21708, 27912,383469,10270,1474,12959,127,2029,13732,134971,112470,129409,92947,109680,89934,158502,139853,76952,173320,122301,187151,103550,112470,134971,86610,134361,112925,180235,1,2,147556, 99693,0.5968,0.5920,1.0000,2.000,0,-0.25606
24,1,549050,452225,0.0006570200,0.9584,0.2879, 33699,460672,12248,1882,13278,148,3552,23571, 22753,389654, 9772,1473,10584,122,2674,15193,135095,110937,129653,91233,111798,85015,156899,140103,75232,173941,121620,186860,103705,110937,135095,83827,134613,112663,180400,2,3,147764, 97958,0.6013,0.5977,1.0000,2.000,0,-0.25606
24,2,548329,435369,0.0006570200,0.9584,0.4571,148402,293378,43138,1631,25089,172,7840,28679,103235,252781,32152,1226,20828,133,5779,19235,117430, 69605,101824,53187, 86324,54918,117452,107173,44061,133545, 78302,141714, 61150, 69605,117430,50722,103193, 69727,137630,2,3,115066, 60203,0.6565,0.6556,1.0000,2.000,0,-0.25606
25,1,550458,437262,0.0032231344,0.9610,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
25,2,546921,450332,0.0032231344,0.9610,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
26,1,546871,448438,0.0033142606,0.9065,0.2417, 87265,374730,30062,1943,21363,171,5493,25844, 61399,322997,23300,1531,17710,141,4141,17219,138147, 79291,126059,65416,109833,62708,144478,133106,53413,166799, 86629,175309, 71934, 79291,138147,60513,128369, 79282,171053,3,3,141962, 69898,0.6701,0.6685,1.0000,2.000,0,-0.25606
26,2,550508,439156,0.0033142606,0.9065,0.1800, 94836,379320,25324,1570,17004,149,5899,26406, 64589,319438,18624,1168,13702,114,4312,17209,114378,101251,105418,79004, 88289,77225,129872,114170,65880,140687,113293,153265, 92920,101251,114378,74036,109437,103108,146976,3,3,120868, 88263,0.5780,0.5743,1.0000,2.000,0,-0.25606
27,1,546596,449704,0.0038154548,0.9645,0.3286, 34298,460605,10959,1837,14876,152,2559,21310, 23187,389306, 8719,1413,11668,125,1886,13400,131585,116455,126646,96162,106952,92769,156869,137506,79722,170110,127124,184302,108031,116455,131585,89550,131993,117578,177205,1,2,144853,103378,0.5835,0.5784,1.0000,2.000,0,-0.25606
27,2,550783,437890,0.0038154548,0.9645,0.4796,147803,293445,44427,1676,23491,168,8833,30940,102801,253129,33205,1286,19744,130,6567,21028,120940, 64087,104831,48258, 91171,47164,117481,109770,39571,137376, 72798,144272, 56824, 64087,120940,44998,105813, 64812,140824,1,2,117977, 54783,0.6829,0.6839,1.0000,2.000,0,-0.25606
28,1,550355,448670,0.0030354144,0.9463,0.2442, 49840,443842,13255,1839,14126,166,3916,23371, 33294,374457,10108,1384,11568,128,2903,14828,124021,109472,117478,88690,101816,81933,144784,127464,73474,158358,121184,170790,102205,109472,124021,81365,122885,111695,164573,3,1,134959, 96160,0.5839,0.5803,1.0000,2.000,0,-0.25606
28,2,547024,438924,0.0030354144,0.9463,0.3975,132261,310208,42131,1674,24241,154,7476,28879, 92694,267978,31816,1315,19844,127,5550,19600,128505, 71070,113999,55730, 96306,58000,129567,119812,45819,149128, 78738,157784, 62649, 71070,128505,53183,114921, 70694,153456,3,1,127872, 62001,0.6735,0.6722,1.0000,2.000,0,-0.25606
29,1,550458,437262,0.0032231344,0.9610,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
29,2,546921,450332,0.0032231344,0.9610,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
30,1,549741,447471,0.0019163844,0.9307,0.2942, 77257,409742,18365,2111,18060,159,2963,21084, 53351,348318,14228,1637,14224,134,2111,13468,129659,103090,122198,84845,102760,83354,147925,131256,70533,162384,113397,175194, 95431,103090,129659,79577,126035,104414,168788,3,1,138768, 91776,0.6019,0.5977,1.0000,2.000,0,-0.25606
30,2,547638,440123,0.0019163844,0.9307,0.2129,104844,344308,37021,1402,20307,161,8429,31166, 72637,294117,27696,1062,17188,121,6342,20960,122866, 77452,109280,59575, 95362,56579,126425,116020,48760,145101, 86525,153380, 69424, 77452,122866,54971,111771, 77976,149241,3,1,124062, 66385,0.6514,0.6512,1.0000,2.000,0,-0.25606
31,1,549696,437264,0.0018343708,0.9515,0.3570,148239,292811,43584,1680,24166,161,8726,30329,103425,252539,32576,1291,20195,125,6450,20663,121367, 66339,105465,50436, 90807,50708,119338,110583,41556,138166, 75150,145716, 58721, 66339,121367,47567,106548, 66936,141942,1,3,118777, 57151,0.6751,0.6753,1.0000,2.000,0,-0.25606
31,2,547683,450330,0.0018343708,0.9515,0.2717, 33862,461239,11802,1833,14201,159,2666,21921, 22563,389896, 9348,1408,11217,130,2003,13765,131158,114203,126012,93984,107315,89225,155012,136693,77737,169319,124772,182858,106134,114203,131158,86982,131258,115453,176088,1,3,144053,101010,0.5878,0.5832,1.0000,2.000,0,-0.25606
32,1,550808,451059,0.0038610179,0.9273,0.3255, 66343,424199,17493,2052,16171,159,2883,21508, 45719,361308,13617,1574,12871,133,2069,13768,128157,108420,122078,88414,102483,86566,149670,131794,73388,162985,118496,176901, 99297,108420,128157,82789,126506,108897,169942,3,2,139153, 95764,0.5923,0.5876,1.0000,2.000,0,-0.25606
32,2,546571,436535,0.0038610179,0.9273,0.2336,115758,329851,37893,1461,22196,161,8509,30742, 80269,281127,28307,1125,18541,122,6384,20660,124368, 72122,109399,56006, 95639,53367,124680,115482,45904,144501, 81426,151673, 65558, 72122,124368,51760,111300, 73493,148087,3,2,123677, 62397,0.6647,0.6649,1.0000,2.000,0,-0.25606
33,1,546498,440968,0.0039940622,0.9359,0.3761,118277,342041,33624,1658,23211,134,4641,22912, 82628,293399,25677,1317,19074,114,3393,15366,120843, 86229,109669,67985, 89861,70998,129573,117010,56452,142338, 96718,154203, 78456, 86229,120843,65145,111528, 87588,148270,2,2,123357, 76140,0.6183,0.6154,1.0000,2.000,0,-0.25606
33,2,550881,446626,0.0039940622,0.9359,0.1896, 63824,412009,21762,1855,15156,186,6751,29338, 43360,349036,16247,1382,12338,141,5060,19062,131682, 94313,121808,76435,108261,68934,144778,130266,62841,165148,103204,174371, 86399, 94313,131682,69404,126278, 94802,169759,2,2,139473, 82021,0.6297,0.6278,1.0000,2.000,0,-0.25606
34,1,546276,434094,0.0043986626,0.9654,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
34,2,551103,453500,0.0043986626,0.9654,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
35,1,551413,438235,0.0049636452,0.9619,0.4244,141528,304087,42658,1627,21942,168,8674,30729, 98190,261144,31755,1230,18512,128,6455,20821,118364, 68672,102905,51883, 89161,50361,116795,108315,42657,135222, 78248,142559, 61808, 68672,118364,48301,104294, 70029,138891,1,2,116189, 58938,0.6635,0.6642,1.0000,2.000,0,-0.25606
35,2,545966,449359,0.0049636452,0.9619,0.3614, 40573,449963,12728,1886,16425,152,2718,21521, 27798,381291,10169,1469,12900,127,1998,13607,134161,111869,128572,92537,108961,89572,157555,138961,76636,172263,121674,186014,103047,111869,134161,86248,133512,112361,179138,1,2,146642, 99223,0.5964,0.5916,1.0000,2.000,0,-0.25606
36,1,546276,434094,0.0043986626,0.9654,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
36,2,551103,453500,0.0043986626,0.9654,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
37,1,549620,445583,0.0016958590,0.9013,0.2289, 64742,422037,17915,1898,18311,145,3339,21233, 43633,356546,13358,1416,14722,109,2497,13302,120739,110838,114238,88734, 96052,85799,142553,124182,73680,151546,122720,165550,102008,110838,120739,82737,119256,112365,158548,3,3,130694, 97297,0.5732,0.5686,1.0000,2.000,0,-0.25606
37,2,547759,442011,0.0016958590,0.9013,0.2105,117359,332013,37471,1615,20056,175,8053,31017, 82355,285889,28566,1283,16690,146,5956,21126,131786, 69704,117239,55686,102069,54134,131797,123094,45613,155940, 77202,163024, 62847, 69704,131786,51811,118550, 70025,159481,3,3,132136, 60864,0.6846,0.6843,1.0000,2.000,0,-0.25606
38,1,551103,453500,0.0043986626,0.9654,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
38,2,546276,434094,0.0043986626,0.9654,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
39,1,551103,453500,0.0043986626,0.9654,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
