draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_20_rep_tru,pre_20_dem_bid,adv_20,arv_20,county_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
13,1,900657,721443,0.00423590,0.872,0.16634,796140,29673,23607,1577, 8519,266,2476,38399,646601,24274,15808,1342,7019,203,1636,24560,273834,122945,122945,273834,0,122945,273834,0.3099,0.3099,0,0,0,0.104
13,2,893059,711489,0.00423590,0.872,0.30326,802694,35076,11220,1610, 6384,163,2176,33736,646439,27728, 7675,1419,5214,130,1345,21539,271548,113039,113039,271548,0,113039,271548,0.2939,0.2939,0,0,0,0.104
14,1,901145,721653,0.00478002,0.896,0.19418,797256,29323,23507,1563, 8509,277,2470,38240,647360,23938,15718,1333,7014,214,1644,24432,273880,122954,122954,273880,0,122954,273880,0.3098,0.3098,0,0,0,0.104
14,2,892571,711279,0.00478002,0.896,0.37454,801578,35426,11320,1624, 6394,152,2182,33895,645680,28064, 7765,1428,5219,119,1337,21667,271502,113030,113030,271502,0,113030,271502,0.2939,0.2939,0,0,0,0.104
15,1,894482,716140,0.00264925,0.904,0.24245,792240,28583,23138,1566, 8370,281,2386,37918,643031,23333,15420,1347,6890,220,1615,24284,272547,120079,120079,272547,0,120079,272547,0.3058,0.3058,0,0,0,0.104
15,2,899234,716792,0.00264925,0.904,0.35316,806594,36166,11689,1621, 6533,148,2266,34217,650009,28669, 8063,1414,5343,113,1366,21815,272835,115905,115905,272835,0,115905,272835,0.2982,0.2982,0,0,0,0.104
16,1,895473,714861,0.00154428,0.856,0.36432,804482,36434,11365,1620, 6184,154,2126,33108,648633,29141, 7879,1423,5070,119,1277,21319,271749,112019,112019,271749,0,112019,271749,0.2919,0.2919,0,0,0,0.104
16,2,898243,718071,0.00154428,0.856,0.14642,794352,28315,23462,1567, 8719,275,2526,39027,644407,22861,15604,1338,7163,214,1704,24780,273633,123965,123965,273633,0,123965,273633,0.3118,0.3118,0,0,0,0.104
17,1,896298,718594,0.00062440,0.784,0.13053,814455,21237,13984,1410, 8298,258,2056,34600,659173,17190, 9881,1237,6795,198,1386,22734,269727,117030,117030,269727,0,117030,269727,0.3026,0.3026,0,0,0,0.104
17,2,897418,714338,0.00062440,0.784,0.18363,784379,43512,20843,1777, 6605,171,2596,37535,633867,34812,13602,1524,5438,135,1595,23365,275655,118954,118954,275655,0,118954,275655,0.3014,0.3014,0,0,0,0.104
18,1,895878,717314,0.00109270,0.832,0.12731,788565,31983,23434,1640, 8617,258,2541,38840,640982,25735,15659,1383,7097,197,1651,24610,272128,123063,123063,272128,0,123063,272128,0.3114,0.3114,0,0,0,0.104
18,2,897838,715618,0.00109270,0.832,0.34904,810269,32766,11393,1547, 6286,171,2111,33295,652058,26267, 7824,1378,5136,136,1330,21489,273254,112921,112921,273254,0,112921,273254,0.2924,0.2924,0,0,0,0.104
19,1,896391,714639,0.00052071,0.856,0.31347,804992,35698,11386,1621, 6404,152,2213,33925,648710,28309, 7819,1416,5226,119,1344,21696,273284,113538,113538,273284,0,113538,273284,0.2935,0.2935,0,0,0,0.104
19,2,897325,718293,0.00052071,0.856,0.20154,793842,29051,23441,1566, 8499,277,2439,38210,644330,23693,15664,1345,7007,214,1637,24403,272098,122446,122446,272098,0,122446,272098,0.3103,0.3103,0,0,0,0.104
20,1,899549,717804,0.00300047,0.888,0.37207,809596,35407,11221,1633, 6160,160,2145,33227,652711,28101, 7724,1427,5050,123,1295,21373,274511,113066,113066,274511,0,113066,274511,0.2917,0.2917,0,0,0,0.104
20,2,894167,715128,0.00300047,0.888,0.15921,789238,29342,23606,1554, 8743,269,2507,38908,640329,23901,15759,1334,7183,210,1686,24726,270871,122918,122918,270871,0,122918,270871,0.3121,0.3121,0,0,0,0.104
21,1,894482,716140,0.00264925,0.904,0.24245,792240,28583,23138,1566, 8370,281,2386,37918,643031,23333,15420,1347,6890,220,1615,24284,272547,120079,120079,272547,0,120079,272547,0.3058,0.3058,0,0,0,0.104
21,2,899234,716792,0.00264925,0.904,0.35316,806594,36166,11689,1621, 6533,148,2266,34217,650009,28669, 8063,1414,5343,113,1366,21815,272835,115905,115905,272835,0,115905,272835,0.2982,0.2982,0,0,0,0.104
22,1,894804,716657,0.00229022,0.896,0.21150,791263,29282,23484,1548, 8477,279,2458,38013,642646,23925,15663,1327,6987,215,1645,24249,272514,121867,121867,272514,0,121867,272514,0.3090,0.3090,0,0,0,0.104
22,2,898912,716275,0.00229022,0.896,0.35896,807571,35467,11343,1639, 6426,150,2194,34122,650394,28077, 7820,1434,5246,118,1336,21850,272868,114117,114117,272868,0,114117,272868,0.2949,0.2949,0,0,0,0.104
23,1,901270,714227,0.00491940,0.864,0.15010,798468,36129,20529,1648, 6403,143,2411,35539,641459,28850,13394,1407,5269,118,1529,22201,279797,108634,108634,279797,0,108634,279797,0.2797,0.2797,0,0,0,0.104
23,2,892446,718705,0.00491940,0.864,0.29923,800366,28620,14298,1539, 8500,286,2241,36596,651581,23152,10089,1354,6964,215,1452,23898,265585,127350,127350,265585,0,127350,265585,0.3241,0.3241,0,0,0,0.104
24,1,896445,716580,0.00046050,0.848,0.14623,792720,28273,23320,1579, 8689,270,2498,39096,643029,22829,15483,1358,7129,209,1672,24871,272478,123193,123193,272478,0,123193,272478,0.3114,0.3114,0,0,0,0.104
24,2,897271,716352,0.00046050,0.848,0.29278,806114,36476,11507,1608, 6214,159,2154,33039,650011,29173, 8000,1403,5104,124,1309,21228,272904,112791,112791,272904,0,112791,272904,0.2924,0.2924,0,0,0,0.104
25,1,892765,711389,0.00456371,0.896,0.43393,801808,35367,11297,1625, 6427,152,2166,33923,645778,28003, 7774,1429,5251,118,1323,21713,270164,113340,113340,270164,0,113340,270164,0.2955,0.2955,0,0,0,0.104
25,2,900951,721543,0.00456371,0.896,0.19127,797026,29382,23530,1562, 8476,277,2486,38212,647262,23999,15709,1332,6982,215,1658,24386,275218,122644,122644,275218,0,122644,275218,0.3083,0.3083,0,0,0,0.104
26,1,896813,718392,0.00005018,0.888,0.18341,792518,29671,23572,1567, 8473,270,2489,38253,643770,24280,15772,1333,6986,208,1647,24396,272901,122807,122807,272901,0,122807,272901,0.3103,0.3103,0,0,0,0.104
26,2,896903,714540,0.00005018,0.888,0.37801,806316,35078,11255,1620, 6430,159,2163,33882,649270,27722, 7711,1428,5247,125,1334,21703,272481,113177,113177,272481,0,113177,272481,0.2935,0.2935,0,0,0,0.104
27,1,894628,715375,0.00248646,0.896,0.17192,790667,28470,23469,1566, 8722,269,2531,38934,641607,23021,15609,1339,7164,210,1702,24723,271754,123366,123366,271754,0,123366,271754,0.3122,0.3122,0,0,0,0.104
27,2,899088,717557,0.00248646,0.896,0.48303,808167,36279,11358,1621, 6181,160,2121,33201,651433,28981, 7874,1422,5069,123,1279,21376,273628,112618,112618,273628,0,112618,273628,0.2916,0.2916,0,0,0,0.104
28,1,900951,721543,0.00456371,0.896,0.19127,797026,29382,23530,1562, 8476,277,2486,38212,647262,23999,15709,1332,6982,215,1658,24386,275218,122644,122644,275218,0,122644,275218,0.3083,0.3083,0,0,0,0.104
28,2,892765,711389,0.00456371,0.896,0.43393,801808,35367,11297,1625, 6427,152,2166,33923,645778,28003, 7774,1429,5251,118,1323,21713,270164,113340,113340,270164,0,113340,270164,0.2955,0.2955,0,0,0,0.104
29,1,900418,717604,0.00396941,0.888,0.38816,809023,35462,11360,1647, 6444,152,2176,34154,651663,28088, 7811,1450,5259,118,1332,21883,272906,114039,114039,272906,0,114039,272906,0.2947,0.2947,0,0,0,0.104
29,2,893298,715328,0.00396941,0.888,0.18847,789811,29287,23467,1540, 8459,277,2476,37981,641377,23914,15672,1311,6974,215,1649,24216,272476,121945,121945,272476,0,121945,272476,0.3092,0.3092,0,0,0,0.104
30,1,892859,711870,0.00445890,0.888,0.28565,800578,36226,11600,1615, 6512,148,2267,33913,645315,28734, 8016,1410,5320,113,1368,21594,271364,115149,115149,271364,0,115149,271364,0.2979,0.2979,0,0,0,0.104
30,2,900857,721062,0.00445890,0.888,0.23482,798256,28523,23227,1572, 8391,281,2385,38222,647725,23268,15467,1351,6913,220,1613,24505,274018,120835,120835,274018,0,120835,274018,0.3060,0.3060,0,0,0,0.104
31,1,900951,721543,0.00456371,0.896,0.19127,797026,29382,23530,1562, 8476,277,2486,38212,647262,23999,15709,1332,6982,215,1658,24386,275218,122644,122644,275218,0,122644,275218,0.3083,0.3083,0,0,0,0.104
31,2,892765,711389,0.00456371,0.896,0.43393,801808,35367,11297,1625, 6427,152,2166,33923,645778,28003, 7774,1429,5251,118,1323,21713,270164,113340,113340,270164,0,113340,270164,0.2955,0.2955,0,0,0,0.104
32,1,898807,718899,0.00217314,0.872,0.16466,793952,29216,23551,1552, 8726,277,2512,39021,644212,23780,15704,1334,7164,216,1681,24808,273380,123234,123234,273380,0,123234,273380,0.3107,0.3107,0,0,0,0.104
32,2,894909,714033,0.00217314,0.872,0.34868,804882,35533,11276,1635, 6177,152,2140,33114,648828,28222, 7779,1427,5069,117,1300,21291,272002,112750,112750,272002,0,112750,272002,0.2930,0.2930,0,0,0,0.104
33,1,900661,717875,0.00424036,0.880,0.41085,808950,35940,11441,1622, 6447,163,2161,33937,651494,28589, 7902,1431,5274,129,1332,21724,272222,113948,113948,272222,0,113948,272222,0.2951,0.2951,0,0,0,0.104
33,2,893055,715057,0.00424036,0.880,0.17422,789884,28809,23386,1565, 8456,266,2491,38198,641546,23413,15581,1330,6959,204,1649,24375,273160,122036,122036,273160,0,122036,273160,0.3088,0.3088,0,0,0,0.104
34,1,900542,719650,0.00410767,0.864,0.16344,796183,28475,23495,1560, 8752,273,2529,39275,645616,23016,15628,1338,7187,214,1700,24951,273126,123737,123737,273126,0,123737,273126,0.3118,0.3118,0,0,0,0.104
34,2,893174,713282,0.00410767,0.864,0.39873,802651,36274,11332,1627, 6151,156,2123,32860,647424,28986, 7855,1423,5046,119,1281,21148,272256,112247,112247,272256,0,112247,272256,0.2919,0.2919,0,0,0,0.104
35,1,893108,712110,0.00418126,0.800,0.37356,811855,26168,11552,1604, 6093,186,2119,33531,653886,20734, 7845,1431,4945,144,1359,21766,270287,117312,117312,270287,0,117312,270287,0.3027,0.3027,0,0,0,0.104
35,2,900608,720822,0.00418126,0.800,0.09094,786979,38581,23275,1583, 8810,243,2533,38604,639154,31268,15638,1330,7288,189,1622,24333,275095,118672,118672,275095,0,118672,275095,0.3014,0.3014,0,0,0,0.104
36,1,899979,717555,0.00347993,0.888,0.37838,807604,36349,11564,1635, 6424,152,2183,34068,650637,28986, 7983,1439,5247,119,1338,21806,273514,113629,113629,273514,0,113629,273514,0.2935,0.2935,0,0,0,0.104
36,2,893737,715377,0.00347993,0.888,0.18681,791230,28400,23263,1552, 8479,277,2469,38067,642403,23016,15500,1322,6986,214,1643,24293,271868,122355,122355,271868,0,122355,271868,0.3104,0.3104,0,0,0,0.104
37,1,896923,717270,0.00007248,0.856,0.19455,793251,29194,23175,1600, 8394,273,2466,38570,643373,23683,15406,1367,6908,214,1662,24657,270134,122059,122059,270134,0,122059,270134,0.3112,0.3112,0,0,0,0.104
37,2,896793,715662,0.00007248,0.856,0.25769,805583,35555,11652,1587, 6509,156,2186,33565,649667,28319, 8077,1394,5325,119,1319,21442,275248,113925,113925,275248,0,113925,275248,0.2927,0.2927,0,0,0,0.104
38,1,896140,718511,0.00080057,0.808,0.16373,815427,20507,13725,1442, 8244,249,2028,34518,660005,16615, 9685,1280,6723,187,1339,22677,270201,117684,117684,270201,0,117684,270201,0.3034,0.3034,0,0,0,0.104
38,2,897576,714421,0.00080057,0.808,0.24374,783407,44242,21102,1745, 6659,180,2624,37617,633035,35387,13798,1481,5510,146,1642,23422,275181,118300,118300,275181,0,118300,275181,0.3006,0.3006,0,0,0,0.104
39,1,894482,716140,0.00264925,0.904,0.24245,792240,28583,23138,1566, 8370,281,2386,37918,643031,23333,15420,1347,6890,220,1615,24284,272547,120079,120079,272547,0,120079,272547,0.3058,0.3058,0,0,0,0.104
39,2,899234,716792,0.00264925,0.904,0.35316,806594,36166,11689,1621, 6533,148,2266,34217,650009,28669, 8063,1414,5343,113,1366,21815,272835,115905,115905,272835,0,115905,272835,0.2982,0.2982,0,0,0,0.104
40,1,901270,714227,0.00491940,0.864,0.15010,798468,36129,20529,1648, 6403,143,2411,35539,641459,28850,13394,1407,5269,118,1529,22201,279797,108634,108634,279797,0,108634,279797,0.2797,0.2797,0,0,0,0.104
40,2,892446,718705,0.00491940,0.864,0.29923,800366,28620,14298,1539, 8500,286,2241,36596,651581,23152,10089,1354,6964,215,1452,23898,265585,127350,127350,265585,0,127350,265585,0.3241,0.3241,0,0,0,0.104
41,1,892765,711389,0.00456371,0.896,0.43393,801808,35367,11297,1625, 6427,152,2166,33923,645778,28003, 7774,1429,5251,118,1323,21713,270164,113340,113340,270164,0,113340,270164,0.2955,0.2955,0,0,0,0.104
41,2,900951,721543,0.00456371,0.896,0.19127,797026,29382,23530,1562, 8476,277,2486,38212,647262,23999,15709,1332,6982,215,1658,24386,275218,122644,122644,275218,0,122644,275218,0.3083,0.3083,0,0,0,0.104
42,1,897058,718331,0.00022300,0.872,0.16868,793707,28843,23391,1578, 8460,270,2498,38311,644698,23443,15591,1343,6966,208,1655,24427,273631,122907,122907,273631,0,122907,273631,0.3100,0.3100,0,0,0,0.104
42,2,896658,714601,0.00022300,0.872,0.38378,805127,35906,11436,1609, 6443,159,2154,33824,648342,28559, 7892,1418,5267,125,1326,21672,271751,113077,113077,271751,0,113077,271751,0.2938,0.2938,0,0,0,0.104
43,1,894188,714575,0.00297706,0.848,0.16080,790462,28354,23377,1554, 8717,273,2508,38943,641001,22920,15535,1328,7159,214,1685,24733,270970,122575,122575,270970,0,122575,270970,0.3115,0.3115,0,0,0,0.104
43,2,899528,718357,0.00297706,0.848,0.29515,808372,36395,11450,1633, 6186,156,2144,33192,652039,29082, 7948,1433,5074,119,1296,21366,274412,113409,113409,274412,0,113409,274412,0.2924,0.2924,0,0,0,0.104
44,1,892507,714730,0.00485138,0.888,0.17560,788910,29366,23450,1556, 8457,270,2478,38020,640692,23983,15665,1326,6966,208,1650,24240,271569,122058,122058,271569,0,122058,271569,0.3101,0.3101,0,0,0,0.104
44,2,901209,718202,0.00485138,0.888,0.41368,809924,35383,11377,1631, 6446,159,2174,34115,652348,28019, 7818,1435,5267,125,1331,21859,273813,113926,113926,273813,0,113926,273813,0.2938,0.2938,0,0,0,0.104
45,1,899822,719486,0.00330487,0.888,0.17656,795666,28476,23491,1570, 8722,273,2539,39085,645584,23021,15622,1341,7164,214,1710,24830,273888,123832,123832,273888,0,123832,273888,0.3114,0.3114,0,0,0,0.104
45,2,893894,713446,0.00330487,0.888,0.47854,803168,36273,11336,1617, 6181,156,2113,33050,647456,28981, 7861,1420,5069,119,1271,21269,271494,112152,112152,271494,0,112152,271494,0.2923,0.2923,0,0,0,0.104
46,1,897327,718336,0.00052294,0.880,0.19867,794670,28386,23285,1563, 8488,277,2462,38196,645232,23020,15501,1341,6990,214,1651,24387,272768,122340,122340,272768,0,122340,272768,0.3096,0.3096,0,0,0,0.104
46,2,896389,714596,0.00052294,0.880,0.35619,804164,36363,11542,1624, 6415,152,2190,33939,647808,28982, 7982,1420,5243,119,1330,21712,272614,113644,113644,272614,0,113644,272614,0.2942,0.2942,0,0,0,0.104
47,1,896937,717448,0.00008809,0.880,0.17090,792221,29772,23435,1599, 8488,260,2530,38632,642810,24131,15636,1354,6987,197,1685,24648,270927,123988,123988,270927,0,123988,270927,0.3140,0.3140,0,0,0,0.104
47,2,896779,715484,0.00008809,0.880,0.36938,806613,34977,11392,1588, 6415,169,2122,33503,650230,27871, 7847,1407,5246,136,1296,21451,274455,111996,111996,274455,0,111996,274455,0.2898,0.2898,0,0,0,0.104
